subject,trial,trial_id,step_count,duration_walk_sec,mean_step_time,step_time_std,cadence_spm,distance_2d_m,walking_speed_ms,step_length_m
Kinan,Kinan_Jalan10,Jalan10,5,2.8141040000045905,0.7035260000011476,0.7837079715544087,106.60586815537401,2.153834377098269,0.7653712787781672,0.5384585942745672
Kinan,Kinan_Jalan11,Jalan11,3,2.5709590000042226,1.2854795000021113,1.35246122006356,70.01278511236639,2.6517428984892706,1.0314216984731828,1.3258714492446353
Kinan,Kinan_Jalan12,Jalan12,7,4.46243400000094,0.7437390000001566,0.8275677495052964,94.11903907148242,1.6192480046022557,0.362862062408523,0.2698746674337093
Kinan,Kinan_Jalan13,Jalan13,6,4.513180999994802,0.9026361999989604,0.7146363292310861,79.7663554819571,3.6398512553367697,0.8064935253740017,0.7279702510673539
Kinan,Kinan_Jalan14,Jalan14,8,4.400330000004033,0.6286185714291476,0.414931743507207,109.08272788621765,3.692542265560972,0.839151214921969,0.5275060379372817
Kinan,Kinan_Jalan15,Jalan15,6,3.850691999999981,0.7701383999999962,0.6880942765748518,93.48968964539407,3.249873543324742,0.8439713026450202,0.6499747086649484
Kinan,Kinan_Jalan16,Jalan16,5,1.2012389999945299,0.30030974999863247,0.028632745153415313,249.7421412403078,0.6378154678284027,0.5309646688388465,0.15945386695710068
Kinan,Kinan_Jalan17,Jalan17,7,2.374266999999236,0.3957111666665393,0.24009706773771197,176.89670117140793,3.1001258783712613,1.3057191454761654,0.5166876463952103
Kinan,Kinan_Jalan18,Jalan18,7,5.606188999998267,0.9343648333330444,0.527252979488466,74.91720311251187,3.4634479430218392,0.6177900786118538,0.5772413238369732
Kinan,Kinan_Jalan19,Jalan19,7,3.028308000000834,0.504718000000139,0.5061663037460603,138.69130881003,2.608614923885042,0.861410042797603,0.4347691539808403
Kinan,Kinan_Jalan1,Jalan1,4,1.0482179999962682,0.34940599999875604,0.0870666182247803,228.9600064116953,0.882740035039325,0.8421340170102666,0.29424667834644164
Kinan,Kinan_Jalan20,Jalan20,9,4.891069000004791,0.6113836250005988,0.5518268289687948,110.40531221282527,3.2327327236151313,0.6609460475024918,0.4040915904518914
Kinan,Kinan_Jalan21,Jalan21,6,2.586310999999114,0.5172621999998228,0.5405822492306985,139.19439696158867,2.318650923032515,0.8965089360998386,0.46373018460650306
Kinan,Kinan_Jalan22,Jalan22,4,4.797475999999733,1.5991586666665778,1.9478324189552447,50.02630549897766,3.5407468087188514,0.7380436731145812,1.1802489362396171
Kinan,Kinan_Jalan23,Jalan23,5,2.367206000002625,0.5918015000006562,0.6277289569751932,126.73168283608074,2.3235133140035886,0.9815425079190455,0.5808783285008972
Kinan,Kinan_Jalan24,Jalan24,7,4.300892999999633,0.7168154999999388,0.4926909125970816,97.65413833825578,2.81089014660546,0.6535596553101182,0.46848169110091
Kinan,Kinan_Jalan25,Jalan25,7,3.4531840000126977,0.5755306666687829,0.682850273981706,121.62688116198142,1.5904308254611539,0.4605693833445613,0.26507180424352567
Kinan,Kinan_Jalan26,Jalan26,5,1.1499369999946794,0.28748424999866984,0.02911665731373294,260.88385711685777,1.3292237220848429,1.1559100386290666,0.3323059305212107
Kinan,Kinan_Jalan27,Jalan27,6,3.401120999988052,0.6802241999976104,0.7526905650010156,105.84745441319632,3.2711628761165263,0.961789620577456,0.6542325752233052
Kinan,Kinan_Jalan28,Jalan28,7,3.624828999993042,0.604138166665507,0.6722172100070115,115.8675347170325,3.228353019569784,0.8906221561281872,0.538058836594964
Kinan,Kinan_Jalan29,Jalan29,7,3.256789999999455,0.5427983333332426,0.6048080372902823,128.96133923282443,1.0645067589926172,0.3268576601478128,0.17741779316543618
Kinan,Kinan_Jalan2,Jalan2,6,3.566017000004649,0.7132034000009299,0.9498624247060278,100.95296797506312,1.1160989898968743,0.3129819599557207,0.22321979797937486
Kinan,Kinan_Jalan30,Jalan30,7,4.999991000004229,0.8333318333340382,0.945509173202002,84.00015120020112,2.9847038391515706,0.5969418423251254,0.4974506398585951
Kinan,Kinan_Jalan31,Jalan31,7,3.511060999997426,0.5851768333329043,0.7356443376790106,119.6219604274343,2.898886892337788,0.825644126473426,0.48314781538963136
Kinan,Kinan_Jalan32,Jalan32,7,3.5249410000105854,0.5874901666684309,0.6074489736206115,119.15093046911672,3.1781364464798423,0.901614082752108,0.5296894077466404
Kinan,Kinan_Jalan33,Jalan33,9,4.660401999994065,0.5825502499992581,0.6703188469223746,115.86983268840063,2.532553935010939,0.5434196309704966,0.31656924187636737
Kinan,Kinan_Jalan34,Jalan34,7,2.5896190000057686,0.4316031666676281,0.22580182084433062,162.1860204142248,2.091522611518147,0.8076564975440357,0.34858710191969117
Kinan,Kinan_Jalan35,Jalan35,6,1.7610419999982696,0.3522083999996539,0.17222963375681752,204.42442599344804,1.787098555799161,1.0147961012860096,0.3574197111598322
Kinan,Kinan_Jalan36,Jalan36,5,1.3182680000027176,0.3295670000006794,0.047899172693061084,227.57132843957493,1.0990480369373674,0.8337060726158123,0.27476200923434185
Kinan,Kinan_Jalan37,Jalan37,9,4.563305999996373,0.5704132499995467,0.7391198811767015,118.33525956848591,2.483483520506647,0.5442290130244652,0.31043544006333085
Kinan,Kinan_Jalan38,Jalan38,4,3.5803610000002664,1.1934536666667555,1.5962083483019809,67.03234673821498,2.1087424772289243,0.5889748204800487,0.702914159076308
Kinan,Kinan_Jalan39,Jalan39,10,6.007228999995277,0.6674698888883641,0.7219744657116972,99.87966165439535,4.1358557582879865,0.6884797896486446,0.45953952869866516
