frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,0,1.1636752221236282,1.3186776311614798,0.382943805290612,3,0
2,0,1.1636752221236282,1.3186776311614798,0.382943805290612,0,1
3,0,1.1636752221236282,1.3186776311614798,0.382943805290612,5,1
4,-1,,,,0,0
5,-1,,,,0,0
6,0,-0.0739253924578469,0.2226800820405445,2.0946447224777933,1,0
7,0,-0.0739253924578469,0.2226800820405445,2.0946447224777933,4,1
8,0,-0.0739253924578469,0.2226800820405445,2.0946447224777933,0,1
9,0,0.5639461345624386,0.31470340794963375,1.7113580750403186,4,0
10,0,0.5639461345624386,0.31470340794963375,1.7113580750403186,1,1
11,0,0.5639461345624386,0.31470340794963375,1.7113580750403186,0,1
12,0,1.1761979025808196,0.4611865890854343,1.5990735268514928,5,0
13,0,1.1942329332688346,0.45890694650328856,1.6525544088039452,5,0
14,0,1.1942329332688346,0.45890694650328856,1.6525544088039452,6,1
15,0,1.1609154224545652,0.5658742069457294,1.5266215865900132,7,0
16,0,1.1609154224545652,0.5658742069457294,1.5266215865900132,0,1
17,0,1.131192375383671,0.42077466591148,1.5388236921221428,6,0
18,0,1.131192375383671,0.42077466591148,1.5388236921221428,0,1
19,0,1.131192375383671,0.42077466591148,1.5388236921221428,0,1
20,0,1.0773555939415398,0.4850827678675983,1.5611296254321363,5,0
21,0,1.0802434481610779,0.4442804585127165,1.524138085325785,5,0
22,0,1.0759996746612805,0.5147529919278003,1.5856231391360767,5,0
23,0,1.053876250476636,0.43190516803458395,1.5355746336712979,6,0
24,0,1.053876250476636,0.43190516803458395,1.5355746336712979,0,1
25,0,0.9662348909034848,0.5735579547488956,1.5498359153287666,11,0
26,0,0.9539575400852873,0.5458382348082031,1.528006848554498,5,0
27,0,0.884860600853005,0.647664530943559,1.5987326915084885,6,0
28,0,0.8696768736030658,0.7160709774957119,1.5945067759630684,5,0
29,0,0.8287186062630155,0.6707981280495751,1.6230100913701975,5,0
30,0,0.7577979947972046,0.7727562603715059,1.6542265531154718,10,0
31,0,0.7577979947972046,0.7727562603715059,1.6542265531154718,28,1
32,0,0.7212854645074858,0.8110878708723145,1.577538077382438,51,0
33,0,0.7212854645074858,0.8110878708723145,1.577538077382438,0,1
34,0,0.6225599864195266,0.8564032424969742,1.6196089333212231,21,0
35,0,0.5975638126467537,0.8409268004374242,1.5361704396843485,33,0
36,0,0.587004331687461,0.8535109403145261,1.4763770079007938,24,0
37,0,0.5132713874550906,0.7890331270336443,1.4304663448288093,12,0
38,0,0.45843550487092094,0.8571934200953966,1.5228281591540922,41,0
39,0,0.45843550487092094,0.8571934200953966,1.5228281591540922,37,1
40,0,0.3264232072672425,0.8937665159604216,1.4027000370130562,16,0
41,0,0.3264232072672425,0.8937665159604216,1.4027000370130562,41,1
42,0,0.22412330510076914,1.018067766761525,1.573233427896648,25,0
43,1,0.17700801961512858,1.023615329240058,1.532319704998982,39,0
44,0,0.12264284938451198,1.0907737975112297,1.6321839104737792,15,0
45,0,0.05501530868423837,1.1126430760597936,1.4972111809543058,43,0
46,0,-0.0260330424387007,1.0960406170932697,1.3888609009714634,5,0
47,0,-0.008927324840936942,1.2639847553703707,1.599469012907073,5,0
48,0,-0.11528071442181129,1.1286109482366313,1.3631741594878988,8,0
49,0,-0.11528071442181129,1.1286109482366313,1.3631741594878988,66,1
50,0,-0.2152352258054413,1.266124315276891,1.675757132403198,49,0
51,0,-0.2152352258054413,1.266124315276891,1.675757132403198,57,1
52,0,-0.30460466741486253,1.38114295601032,1.5711548446779677,43,0
53,0,-0.36229242742048756,1.3883688885039,1.6466048992224604,52,0
54,0,-0.41722292007997586,1.2901869152282475,1.4719783955265675,46,0
55,0,-0.4579855566326438,1.379306286205332,1.5849203656780655,34,0
56,0,-0.5086627181813629,1.3532171817317409,1.4399109540503001,58,0
57,0,-0.5086627181813629,1.3532171817317409,1.4399109540503001,52,1
58,0,-0.6188117835815374,1.4951308900802562,1.5664601509877056,23,0
59,0,-0.7234746830868782,1.4976539333799495,1.5341306698,50,0
60,0,-0.7786223213088127,1.5114141293138361,1.6184549328904225,28,0
61,0,-0.7786223213088127,1.5114141293138361,1.6184549328904225,9,1
62,0,-0.9004322861610112,1.5367050721370692,1.5880400227258473,42,0
63,0,-0.9004322861610112,1.5367050721370692,1.5880400227258473,46,1
64,0,-0.9399601703378909,1.568001951213665,1.47710537688631,37,0
65,0,-0.9967083797159327,1.5295373795392153,1.4242416457621185,27,0
66,0,-1.0439858725361852,1.5694239247073676,1.477500637068148,5,0
67,0,-1.0439858725361852,1.5694239247073676,1.477500637068148,26,1
68,0,-1.2286382843976305,1.6750264500162864,1.626305114193782,22,0
69,0,-1.2286382843976305,1.6750264500162864,1.626305114193782,30,1
70,1,-1.3928424624473337,1.681515541234138,1.693042146688739,5,0
71,0,-1.650530188536601,1.4989937313159107,1.9939991673613657,53,0
72,0,-1.650530188536601,1.4989937313159107,1.9939991673613657,6,1
73,0,-1.6922056599263104,1.5390549923154178,1.8239240171034548,49,0
74,0,-1.6922056599263104,1.5390549923154178,1.8239240171034548,28,1
75,0,-1.6922056599263104,1.5390549923154178,1.8239240171034548,67,1
76,0,-1.950364022391149,1.4916518715385663,0.23846765711207238,40,0
77,0,-1.9174742681128527,1.602317440689258,0.27062178430562767,71,0
78,0,-1.9174742681128527,1.602317440689258,0.27062178430562767,78,1
79,0,-1.9268731907863585,1.6618993418495422,0.09378423968485816,95,0
80,0,-1.9268731907863585,1.6618993418495422,0.09378423968485816,70,1
