frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,0,0.719238115121854,1.153794035307924,1.5297917715196847,48,0
2,0,0.7033466124633001,1.1911283630951972,1.5297090899375563,46,0
3,0,0.7117424255459318,1.1518979862037941,1.4844302260817617,52,0
4,0,0.7144740972438454,1.145396693632166,1.5301558054941784,24,0
5,1,0.798062326671216,1.098921689746156,1.3190969021950099,37,0
6,0,0.7977379018926994,1.1059628415413356,1.3384935482950588,35,0
7,0,0.769791382982335,1.1249196313258742,1.4327242729994545,48,0
8,0,0.7177299943146913,1.1566000901755271,1.5438169434939046,26,0
9,0,0.7229598343069584,1.1648833407568415,1.4919816071957503,35,0
10,0,0.7291484605808998,1.169518339772829,1.438949046426792,53,0
11,0,0.7291484605808998,1.169518339772829,1.438949046426792,52,1
12,0,0.7217599965613677,1.2059692069249357,1.4478671026538308,60,0
13,0,0.7098545047894943,1.2143525795831334,1.506838373864566,48,0
14,0,0.7185334031927704,1.2313484788377735,1.5692272921222434,29,0
15,0,0.7546026484963911,1.195402251743604,1.3992665019639459,17,0
16,0,0.7546026484963911,1.195402251743604,1.3992665019639459,6,1
17,0,0.7202846769704383,1.21525684868874,1.227445170964457,53,0
18,1,0.7270670360645798,1.2217039439727613,1.4096556184789224,51,0
19,0,0.6376508061760001,1.2279991617687833,1.4495858130984858,32,0
20,0,0.6382134160757257,1.1987625651623717,1.4576479753546447,46,0
21,0,0.6300147318757483,1.2144067383657466,1.3964913775299042,49,0
22,0,0.6723160988812673,1.173742169508656,1.3547701786287776,47,0
23,0,0.5789584894230658,1.187195555886229,1.4133860829847988,69,0
24,0,0.6081986895525562,1.1322101691449238,1.200015046576782,102,0
25,0,0.5299091008894145,1.1466398696504163,1.3648702327928588,48,0
26,0,0.5299091008894145,1.1466398696504163,1.3648702327928588,66,1
27,0,0.5311282681241238,1.1036442062773064,1.4312684218347993,16,0
28,0,0.43466441446749216,1.1770085720447847,1.2071999538478173,43,0
29,1,0.4107136493786467,1.1629305128738234,1.3266691893735842,105,0
30,0,0.36219710924714354,1.1254199132723914,1.3962678019590244,41,0
31,0,0.31863634409869984,1.1683588281785109,1.3503499748960586,56,0
32,0,0.28395582725708984,1.1735272749602588,1.3390412219044083,85,0
33,0,0.2640409723255978,1.1515245062935373,1.5381367750254793,26,0
34,0,0.2972158261147778,1.0419763165044327,1.1346036310548866,7,0
35,2,0.2087761038670979,1.1327442296319732,1.4565693462276534,38,0
36,2,0.1376923084447348,1.1615613903399882,1.469825104646231,9,0
37,0,0.09637240236866929,1.202156546400658,1.4566998089724805,7,0
38,0,0.09637240236866929,1.202156546400658,1.4566998089724805,7,1
39,0,0.030294822389691917,1.2165895858057805,1.420048842351826,12,0
40,0,0.0063377715779471865,1.1709528529073334,1.2571105468789903,7,0
41,0,-0.07225824850810482,1.249337282169688,1.1431741424345951,29,0
42,0,-0.07055346645230516,1.1826838521910437,1.2109475934989917,7,0
43,0,-0.08419242383427454,1.2039318759775188,1.2490001992822284,6,0
44,0,-0.10331976381052614,1.11897905801334,1.185917127532019,7,0
45,0,-0.17689096043775007,1.0982972390278798,1.2806983975238526,7,0
46,0,-0.18611646898876397,1.097677679781104,1.449002300158898,24,0
47,0,-0.22221021591977716,1.1376088564885092,1.4576629832597678,47,0
48,0,-0.2943313855394052,1.1364644307374197,1.5420778439851204,42,0
49,0,-0.32626442741585054,1.1218618586209854,1.5286767065855424,40,0
50,0,-0.32927183675938193,1.1454514908637496,1.4871883371568768,50,0
51,0,-0.3786478861378321,1.0702608504390378,1.447593259224084,42,0
52,0,-0.39879379941901294,1.0829664258838976,1.4425299004028558,52,0
53,0,-0.39879379941901294,1.0829664258838976,1.4425299004028558,20,1
54,0,-0.486474219924799,1.1322168418103125,1.4397658652774892,62,0
55,0,-0.5366597377172145,1.175684638832928,1.5480893375100595,46,0
56,0,-0.5486432420858978,1.2011975010837286,1.497530690244753,52,0
57,0,-0.5784501926525516,1.2071172421194636,1.5204751467273845,10,0
58,0,-0.6091676491622737,1.2711847258549775,1.5658446275665152,27,0
59,0,-0.6206957614652834,1.260444904694447,1.5138019242847387,61,0
60,0,-0.6706056092447134,1.3060028718803245,1.5840124884341436,49,0
61,0,-0.6428334098768177,1.3285594903104485,1.531431830003473,61,0
62,0,-0.6676419162230527,1.3115695145045896,1.425719062754512,41,0
63,1,-0.6727575793390612,1.342333029057697,1.4444501412218675,39,0
64,1,-0.6392349993506157,1.344155556963609,1.3174887970317735,97,0
65,1,-0.699417556995883,1.3622526192390265,1.3555318942523746,81,0
66,0,-0.6027071455135353,1.401544176319291,1.3236657611179041,53,0
67,0,-0.5974090265879748,1.4058000395428785,1.3033038846199323,69,0
68,0,-0.5953033804112927,1.4686376995062804,1.2953426555224932,24,0
69,0,-0.6171891579733506,1.5394103706889997,1.3857713319144234,42,0
70,0,-0.7199726609632623,1.540775795829126,1.4218782961431706,53,0
71,0,-0.7563063082227083,1.5830213880494406,1.4068180948490698,20,0
72,0,-0.6429146264030163,1.5635304211877734,1.2895967540970008,37,0
73,0,-0.7303478484281778,1.590745925871142,1.3667376579623665,34,0
74,0,-0.6804768777474959,1.5963659879835286,1.2666636853962863,19,0
75,0,-0.7575483035738086,1.6458515213106417,1.4412880859852044,5,0
76,0,-0.7451610030312898,1.6722419359863954,1.3178350709804802,9,0
77,0,-0.7330291831356647,1.703569625974387,1.3705910043478444,38,0
78,0,-0.8192047723364816,1.769171969035365,1.465523686000618,5,0
79,0,-0.6976265212433018,1.6914255774018903,1.2748640332087475,38,0
