trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Miftah_Jalan55_clustered_torso,1,7,16,9.0,frames,0.050021733220803555,
Miftah_Jalan55_clustered_torso,2,16,22,6.0,frames,0.17110487090027146,
Miftah_Jalan55_clustered_torso,3,22,32,10.0,frames,0.1788551431287905,
Miftah_Jalan55_clustered_torso,4,32,39,7.0,frames,0.2525313436344095,
Miftah_Jalan55_clustered_torso,5,39,44,5.0,frames,0.23814734497325313,
Miftah_Jalan55_clustered_torso,6,44,52,8.0,frames,0.40049004900616353,
Miftah_Jalan55_clustered_torso,7,52,63,11.0,frames,0.5335112386946104,
Miftah_Jalan55_clustered_torso,8,63,69,6.0,frames,0.3114959956726581,
Miftah_Jalan55_clustered_torso,9,69,79,10.0,frames,0.5253728764487132,
Miftah_Jalan55_clustered_torso,10,79,88,9.0,frames,0.28285280647772604,
Miftah_Jalan55_clustered_torso,11,88,94,6.0,frames,0.24990221606108962,
Miftah_Jalan55_clustered_torso,12,94,104,10.0,frames,0.4729119553074701,
Miftah_Jalan55_clustered_torso,13,104,111,7.0,frames,0.3395411472657946,
