trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Miftah_Jalan51_clustered_torso,1,9,14,5.0,frames,0.06789756809068717,
Miftah_Jalan51_clustered_torso,2,14,20,6.0,frames,0.2860321826811495,
Miftah_Jalan51_clustered_torso,3,20,26,6.0,frames,0.11385985078904114,
Miftah_Jalan51_clustered_torso,4,26,35,9.0,frames,0.16257620397381828,
Miftah_Jalan51_clustered_torso,5,35,44,9.0,frames,0.4810498386867518,
Miftah_Jalan51_clustered_torso,6,44,54,10.0,frames,0.31861698766898255,
Miftah_Jalan51_clustered_torso,7,54,64,10.0,frames,0.4407414295520436,
Miftah_Jalan51_clustered_torso,8,64,78,14.0,frames,0.4428948268112057,
Miftah_Jalan51_clustered_torso,9,78,86,8.0,frames,0.27812289753878283,
Miftah_Jalan51_clustered_torso,10,86,93,7.0,frames,0.2834581645929474,
Miftah_Jalan51_clustered_torso,11,93,104,11.0,frames,0.30343621952937844,
Miftah_Jalan51_clustered_torso,12,104,110,6.0,frames,0.3162357879052609,
Miftah_Jalan51_clustered_torso,13,110,115,5.0,frames,0.0,
Miftah_Jalan51_clustered_torso,14,115,120,5.0,frames,0.3203175076103046,
Miftah_Jalan51_clustered_torso,15,120,126,6.0,frames,0.31835330759450237,
Miftah_Jalan51_clustered_torso,16,126,136,10.0,frames,0.4591827635590541,
