trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Miftah_Jalan53_clustered_torso,1,6,11,5.0,frames,0.1645484246451332,
Miftah_Jalan53_clustered_torso,2,11,22,11.0,frames,0.07108435664160899,
Miftah_Jalan53_clustered_torso,3,22,30,8.0,frames,0.1590347847553538,
Miftah_Jalan53_clustered_torso,4,30,35,5.0,frames,0.23294980116376096,
Miftah_Jalan53_clustered_torso,5,35,44,9.0,frames,0.5318764475874879,
Miftah_Jalan53_clustered_torso,6,44,51,7.0,frames,0.3806850734280917,
Miftah_Jalan53_clustered_torso,7,51,59,8.0,frames,0.2686905769306932,
Miftah_Jalan53_clustered_torso,8,59,69,10.0,frames,0.4646362870892767,
Miftah_Jalan53_clustered_torso,9,69,83,14.0,frames,0.5648478750650289,
Miftah_Jalan53_clustered_torso,10,83,91,8.0,frames,0.3238259070404486,
Miftah_Jalan53_clustered_torso,11,91,97,6.0,frames,0.44611861957600246,
