trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Miftah_Jalan49_clustered_torso,1,4,11,7.0,frames,0.13314505659470122,
Miftah_Jalan49_clustered_torso,2,11,17,6.0,frames,0.1809298084807649,
Miftah_Jalan49_clustered_torso,3,17,23,6.0,frames,0.314289570066212,
Miftah_Jalan49_clustered_torso,4,23,30,7.0,frames,0.25263500414291484,
Miftah_Jalan49_clustered_torso,5,30,40,10.0,frames,0.34822443022432137,
Miftah_Jalan49_clustered_torso,6,40,49,9.0,frames,0.4051114239784288,
Miftah_Jalan49_clustered_torso,7,49,55,6.0,frames,0.23455708624127458,
Miftah_Jalan49_clustered_torso,8,55,63,8.0,frames,0.33792671403407576,
Miftah_Jalan49_clustered_torso,9,63,68,5.0,frames,0.22544845202395206,
Miftah_Jalan49_clustered_torso,10,68,80,12.0,frames,0.49188919183656,
Miftah_Jalan49_clustered_torso,11,80,85,5.0,frames,0.22964649897726128,
Miftah_Jalan49_clustered_torso,12,85,93,8.0,frames,0.32649482125251367,
Miftah_Jalan49_clustered_torso,13,93,101,8.0,frames,0.28192299519194397,
Miftah_Jalan49_clustered_torso,14,101,111,10.0,frames,0.4237484901296606,
Miftah_Jalan49_clustered_torso,15,111,122,11.0,frames,0.5034638728706821,
