frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,delta_d,v_step_frame,v_step_smooth,step_flag,step_index
5,0,1.3796995648913235,0.3720877458063347,1.31748921646268,12,0,0.0,0.0,-0.008168455069257258,0,-1
6,0,1.3848774068155043,0.4118567775835994,1.2804370710809885,16,0,0.054600800478371125,0.054600800478371125,0.025926735743232718,0,-1
8,0,1.3848774068155043,0.4118567775835994,1.2804370710809885,5,1,0.0,0.0,0.050157477380983126,0,-1
9,0,1.3776636168881566,0.4062335254146891,1.277197834660577,6,0,0.00970321506812959,0.00970321506812959,0.06452376984399394,0,-1
10,0,1.400830498654161,0.529192743923084,1.2739543215049582,17,0,0.1251646683555144,0.1251646683555144,0.06685397874440432,0,-1
11,0,1.388490806511805,0.4058103327997246,1.269036493293652,9,0,0.12409541655958825,0.12409541655958825,0.09035616865490992,1,1
12,0,1.388490806511805,0.4058103327997246,1.269036493293652,5,1,0.0,0.0,0.06867959364432506,0,-1
18,0,1.3098080341901164,0.410489795782036,1.2947329150395124,8,0,0.08290465683283794,0.08290465683283794,0.03808950447523575,0,-1
19,0,1.3098080341901164,0.410489795782036,1.2947329150395124,8,1,0.0,0.0,0.03476874801798854,0,-1
20,0,1.3213614074015343,0.3586232725070629,1.3517073176007286,7,0,0.07790827437700797,0.07790827437700797,0.051582759010626214,0,-1
21,0,1.3224300327641945,0.3150003073927644,1.4039477407392746,6,0,0.06806736997433763,0.06806736997433763,0.06931456608779626,0,-1
23,0,1.3040156737759885,0.3512984351846037,1.3176964456405975,7,0,0.09537257784257644,0.09537257784257644,0.14878411031444555,0,-1
24,0,1.327694654409894,0.4120745279572205,1.1258008362290417,5,0,0.20267795264408753,0.20267795264408753,0.18004500310149124,1,2
26,0,1.2528166680445114,0.3663384560449966,1.3613794100197458,7,0,0.25138767978036786,0.25138767978036786,0.16415000218025427,0,-1
27,0,1.217022117968179,0.4344737256004733,1.350355961755584,11,0,0.07775076323867945,0.07775076323867945,0.12500552385348418,0,-1
28,0,1.217022117968179,0.4344737256004733,1.350355961755584,7,1,0.0,0.0,0.054716995413259716,0,-1
30,0,1.1827222848122594,0.3762696303089399,1.3768264337894818,7,0,0.07255950077644685,0.07255950077644685,0.029401956490953757,0,-1
31,0,1.1660667318767126,0.3831574205282305,1.3513390041701785,7,0,0.03121631250312397,0.03121631250312397,0.05156155807907574,0,-1
32,0,1.0992859000497313,0.3545710711070807,1.4165680731708197,6,0,0.09763037598730247,0.09763037598730247,0.0751762784813121,1,3
33,0,1.127659714437683,0.3954136828082468,1.425744184046591,7,0,0.05057067613052662,0.05057067613052662,0.05878361208342324,0,-1
35,0,1.0592959424455215,0.3610034592419743,1.4259219027863694,5,0,0.07653561517899733,0.07653561517899733,0.06381707292069154,0,-1
36,0,1.063302111843852,0.3432702624701685,1.414710632755749,5,0,0.021359031735900143,0.021359031735900143,0.056005192398691284,0,-1
37,0,1.0026101707132458,0.4074486138487547,1.4212249938261117,6,0,0.08857092866188825,0.08857092866188825,0.05811061034630627,0,-1
38,0,0.956216117096203,0.4467910025244441,1.4313727189535606,5,0,0.061670155529172356,0.061670155529172356,0.06988077199838494,1,4
39,0,0.9305010943852554,0.4694865067231909,1.391291702738566,5,0,0.05275259391429522,0.05275259391429522,0.05966482547020488,0,-1
40,0,0.9040681984718204,0.4150345732683228,1.4609551961719671,5,0,0.09228604098502322,0.09228604098502322,0.05343201031238922,0,-1
41,0,0.9040681984718204,0.4150345732683228,1.4609551961719671,6,1,0.0,0.0,0.07865895002068923,0,-1
42,0,0.8561435704811414,0.4408843853111124,1.3412373618839692,6,0,0.13151936206240145,0.13151936206240145,0.0868185998513824,0,-1
43,0,0.7644220115405987,0.4710741949094499,1.414874805507432,10,0,0.12143616463585294,0.12143616463585294,0.08542369438020841,0,-1
44,0,0.7360016306551244,0.45797122520417,1.3823859498375204,14,0,0.04511021622108757,0.04511021622108757,0.09680485466428684,1,5
45,0,0.698392952026194,0.4062735884613439,1.3645454286090133,7,0,0.0663727545813203,0.0663727545813203,0.04449551744343626,0,-1
46,0,0.636518636005402,0.3948758009424681,1.3818042320508763,10,0,0.06523961097072191,0.06523961097072191,0.05074813259549188,0,-1
47,0,0.636518636005402,0.3948758009424681,1.3818042320508763,7,1,0.0,0.0,0.06416153919376318,0,-1
48,0,0.4901321027799019,0.3875605099393616,1.3897805112258543,41,0,0.14678607434534716,0.14678607434534716,0.07584594385617191,0,-1
49,0,0.4573140406635555,0.3370552445648792,1.3994957754307351,46,0,0.06100978110262237,0.06100978110262237,0.09708619482529553,0,-1
50,0,0.3513968206555039,0.3595319613781043,1.4033514758753989,15,0,0.10834448171852087,0.10834448171852087,0.0835407043129619,0,-1
51,1,0.2986260625692657,0.3477252413587208,1.3259724975675151,9,0,0.09440157747932146,0.09440157747932146,0.09446581831647256,0,-1
52,0,0.3123877000109358,0.3562773779422662,1.2939551291772182,19,0,0.03588361163344034,0.03588361163344034,0.12206382969340053,0,-1
53,0,0.1585693278187072,0.3752257591409076,1.4801649996286683,46,0,0.2422668954427365,0.2422668954427365,0.12312981277475715,1,6
54,0,0.0831750875288751,0.3933653637197355,1.4634455727989928,61,0,0.07932764938323868,0.07932764938323868,0.10262087001851841,0,-1
55,0,0.011914109113729,0.3908169195365916,1.48476802690953,44,0,0.07442626325252723,0.07442626325252723,0.10023517160042159,0,-1
56,0,-0.0317065478911772,0.3871760140038605,1.471979778405411,33,0,0.04560216234391795,0.04560216234391795,0.10093177632691397,0,-1
57,0,-0.0600735360239993,0.3019127263496549,1.3182863786049488,38,0,0.1780341972193999,0.1780341972193999,0.1160683746850533,0,-1
58,0,-0.1669510072028975,0.3433921663663009,1.4536390872717466,42,0,0.17738008212065354,0.17738008212065354,0.11604728470515521,0,-1
59,0,-0.1669510072028975,0.3433921663663009,1.4536390872717466,25,1,0.0,0.0,0.1057670520389417,0,-1
60,0,-0.2513215659263576,0.3386870013128846,1.390207584883882,15,0,0.1056602349641075,0.1056602349641075,0.05827819270731546,0,-1
61,0,-0.3242831893772701,0.3516937533024076,1.4393125516403515,23,0,0.08890372238586909,0.08890372238586909,0.09550736354095678,0,-1
62,1,-0.3998361975792532,0.3767649239953511,1.3905125605573108,5,0,0.09337162190938154,0.09337162190938154,0.15157392964969857,1,7
63,0,-0.5946691886284101,0.2936101729296352,1.5282798093005552,24,0,0.25269432493082433,0.25269432493082433,0.141806617316169,0,-1
64,0,-0.6013802291259239,0.2757017113106816,1.4229085961490666,61,0,0.10709268706654643,0.10709268706654643,0.14504427820700871,0,-1
65,1,-0.6601999351434501,0.2293300539814267,1.397174856868682,54,0,0.0791979403570627,0.0791979403570627,0.14140394007123527,0,-1
66,1,-0.7662601688933478,0.1982118520210951,1.4884487008967306,41,0,0.14334584151618593,0.14334584151618593,0.08319398765496222,0,-1
67,0,-0.8002804912403728,0.2476976157130687,1.3918906500644566,25,0,0.11370875217546524,0.11370875217546524,0.08888228998567702,1,8
68,0,-0.8002804912403728,0.2476976157130687,1.3918906500644566,8,1,0.0,0.0,0.08777333264797892,0,-1
