frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,delta_d,v_step_frame,v_step_smooth,step_flag,step_index
1,0,-1.9881112191636676,0.7163482725991459,0.9869912334809192,45,0,0.0,0.0,0.022593183789415206,0,-1
2,0,-2.003792001066083,0.7186013698754979,1.041532862586822,55,0,0.0567957099958588,0.0567957099958588,0.02879099943305791,0,-1
3,0,-1.9908020594240752,0.695179326211425,1.013755583667241,47,0,0.03858636984014844,0.03858636984014844,0.03701048024585371,0,-1
4,0,-1.9702295174573088,0.7345170990845881,1.0528782181436045,50,0,0.05917153357794675,0.05917153357794675,0.04725162622780268,0,-1
5,0,-1.9694649124508865,0.6664602955244612,1.0260712487598662,31,0,0.073150028975922,0.073150028975922,0.046251680947657275,0,-1
6,0,-1.9694649124508865,0.6664602955244612,1.0260712487598662,40,1,0.0,0.0,0.07684398523524737,0,-1
7,0,-1.92756322832794,0.7908503637365104,1.0208668089589816,25,0,0.13136105357288544,0.13136105357288544,0.10116178125149405,1,1
8,0,-1.8890426326807463,0.7804762419644284,1.1613342613881763,44,0,0.14602247732285825,0.14602247732285825,0.0891195338311721,0,-1
9,0,-1.933267396507537,0.7807523050099108,1.0996798301285668,36,0,0.07587604918738461,0.07587604918738461,0.09484288775745928,0,-1
10,0,-1.933267396507537,0.7807523050099108,1.0996798301285668,35,1,0.0,0.0,0.057310252865619325,0,-1
11,0,-1.8325291486689967,0.8525858671400571,1.0934188779375806,18,0,0.12388484470758557,0.12388484470758557,0.08605750159765344,0,-1
12,0,-1.851455307470249,0.9313595068945502,1.0527455097092078,15,0,0.09065213009180573,0.09065213009180573,0.12422017950049258,0,-1
13,0,-1.9180768314341512,0.7256812738964258,1.0060892267150912,43,0,0.2211758841450185,0.2211758841450185,0.15568744109477559,1,2
14,0,-1.8809813423609365,0.7916491625546465,1.0737311362080213,59,0,0.10150500265235277,0.10150500265235277,0.1386131117539109,0,-1
15,0,-1.8568028869303204,0.8032625547091922,1.1953424076961976,49,0,0.12453421191510579,0.12453421191510579,0.1243560042390075,0,-1
16,0,-1.891702251430445,0.7916234302974385,1.1148541282972153,69,0,0.08849744617893485,0.08849744617893485,0.07895324163184392,0,-1
17,0,-1.8473229739339083,0.8210337303844166,1.1769564285337055,43,0,0.08179964374606942,0.08179964374606942,0.09118418447256035,0,-1
18,0,-1.850007625965601,0.8846863251431526,1.182503373525455,44,0,0.06395020543198145,0.06395020543198145,0.0803020086430606,0,-1
19,0,-1.8329650878207424,0.7841196235966733,1.1072767179713745,32,0,0.1267405194569199,0.1267405194569199,0.09425745189797374,1,3
20,0,-1.847287580713932,0.7803502148444293,1.1670851571061578,35,0,0.06161486538779449,0.06161486538779449,0.08855520432407005,0,-1
21,0,-1.8124929929134816,0.881013641937476,1.1763493465408226,11,0,0.10690937330375536,0.10690937330375536,0.0704747289513857,0,-1
22,0,-1.7951592380675754,0.863619599531078,1.181781099712098,36,0,0.025149865025626116,0.025149865025626116,0.045216872566384694,0,-1
23,0,-1.8160144456390792,0.8787385200469886,1.1530030196031538,34,0,0.03862252367691358,0.03862252367691358,0.06939181200537167,0,-1
24,0,-1.8427416198165885,0.8449141412391225,1.087295794276378,29,0,0.07858670308262485,0.07858670308262485,0.06171751833977361,0,-1
25,0,-1.7632281783781083,0.8396599470309567,1.1942858438384067,42,0,0.13340488983336826,0.13340488983336826,0.0628729805304924,0,-1
26,0,-1.7573362493562397,0.853163232844971,1.2020019277711256,52,0,0.016631040455439304,0.016631040455439304,0.09861352944038076,0,-1
27,0,-1.7162770328170824,0.8357479313315107,1.290233939098553,34,0,0.09886374367025272,0.09886374367025272,0.1510561310558759,0,-1
28,0,-1.7745090657584508,0.717943344090223,1.0503915302583755,38,0,0.273483585455935,0.273483585455935,0.16818973640699908,0,-1
29,0,-1.7311493737281016,0.8484538589783368,1.2078434263463662,58,0,0.20905539211182936,0.20905539211182936,0.18803048440867506,1,4
30,0,-1.675572260042117,0.8141957713963592,1.2113484856193348,73,0,0.06538132432848333,0.06538132432848333,0.14249220805792134,0,-1
31,0,-1.6441788491278513,0.8734655546408517,1.2915776597173367,61,0,0.10457138151104518,0.10457138151104518,0.08234311997921441,0,-1
32,0,-1.5892247423878996,0.8946580509365892,1.3124569484073298,56,0,0.06249016277007868,0.06249016277007868,0.06876114579001796,0,-1
33,1,-1.5344737525262215,0.9174952760272912,1.364086532533653,59,0,0.07864365007891004,0.07864365007891004,0.05292881488077328,0,-1
34,0,-1.4981859592944309,0.9313075657959312,1.345431698666235,52,0,0.043076514632767605,0.043076514632767605,0.05149155159509433,0,-1
35,0,-1.4981859592944309,0.9313075657959312,1.345431698666235,5,1,0.0,0.0,0.057886270041353174,0,-1
36,1,-1.41983913225419,0.9961881677608848,1.4225902558497847,72,0,0.12767599917468944,0.12767599917468944,0.0239019630936148,0,-1
37,1,-1.4004874626334696,1.0143320491660597,1.4194246860110011,82,0,0.026715321109033605,0.026715321109033605,0.07871179157253513,0,-1
38,1,-1.4004874626334696,1.0143320491660597,1.4194246860110011,20,1,0.0,0.0,0.10073308300633675,1,5
39,2,-1.5318229265401766,0.8448853906068162,1.2687948079398397,5,0,0.2620124698258,0.2620124698258,0.07899434541706302,0,-1
40,2,-1.5318229265401766,0.8448853906068162,1.2687948079398397,18,1,0.0,0.0,0.0723163893684159,0,-1
42,2,-1.5318229265401766,0.8448853906068162,1.2687948079398397,22,1,0.0,0.0,0.03743035283225717,0,-1
