frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,delta_d,v_step_frame,v_step_smooth,step_flag,step_index
2,0,0.5156154464775105,3.06666191755635,-0.2916492416799374,23,0,0.0,0.0,-0.03823245887382732,0,-1
3,0,0.5156154464775105,3.06666191755635,-0.2916492416799374,16,1,0.0,0.0,0.01911622943691369,0,-1
4,0,0.5156154464775105,3.06666191755635,-0.2916492416799374,29,1,0.0,0.0,0.057348688310741046,0,-1
5,0,0.5156154464775105,3.06666191755635,-0.2916492416799374,32,1,0.0,0.0,0.07646491774765476,0,-1
6,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,46,0,0.26762721211679147,0.26762721211679147,0.08920907070559722,1,1
7,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,9,1,0.0,0.0,0.07646491774765476,0,-1
8,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,15,1,0.0,0.0,0.03823245887382738,0,-1
10,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,5,1,0.0,0.0,-0.025488305915884923,0,-1
11,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,6,1,0.0,0.0,0.0,0,-1
14,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,11,1,0.0,0.0,0.0,1,2
15,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,12,1,0.0,0.0,0.0,0,-1
18,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,31,1,0.0,0.0,0.0,0,-1
19,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,51,1,0.0,0.0,-0.02519884559463774,0,-1
20,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,26,1,0.0,0.0,0.03779826839195661,0,-1
21,0,0.3578227892608156,3.1027785838348603,-0.0785262996703371,46,1,0.0,0.0,0.07559653678391322,0,-1
22,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,26,0,0.26458787874369605,0.26458787874369605,0.08819595958123208,1,3
25,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,35,1,0.0,0.0,0.07559653678391322,0,-1
26,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,53,1,0.0,0.0,0.03779826839195661,0,-1
27,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,54,1,0.0,0.0,-0.02519884559463774,0,-1
28,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,40,1,0.0,0.0,0.0,0,-1
29,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,33,1,0.0,0.0,0.0,0,-1
30,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,25,1,0.0,0.0,0.0,0,-1
31,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,73,1,0.0,0.0,0.0,0,-1
32,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,27,1,0.0,0.0,0.0,0,-1
33,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,86,1,0.0,0.0,0.0,0,-1
34,0,0.4247042862801092,3.061181819899156,-0.3311194907199462,79,1,0.0,0.0,0.0,0,-1
