frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,delta_d,v_step_frame,v_step_smooth,step_flag,step_index
1,0,-0.4386246144390742,2.7508355473555595,1.0910523850402674,53,0,0.0,0.0,0.04772759631707303,0,-1
2,0,-0.401407891288208,2.6869384605084305,1.0039094859257054,30,0,0.11428826298324987,0.11428826298324987,0.043941064870100986,0,-1
3,0,-0.3858645064831321,2.6888331857903918,1.034443489893747,22,0,0.03431489754338692,0.03431489754338692,0.05285902162298123,0,-1
4,0,-0.3668443006017888,2.7845518091160977,1.0045337612463008,73,0,0.10207063706522516,0.10207063706522516,0.0744814665757139,0,-1
5,0,-0.3028811481222778,2.773447693852449,0.869590230963181,30,0,0.14974759636193444,0.14974759636193444,0.09159085777471834,0,-1
6,0,-0.3028811481222778,2.773447693852449,0.869590230963181,20,1,0.0,0.0,0.1602871940141627,0,-1
7,0,-0.257104348855515,2.767567341648995,1.1648161483076542,37,0,0.29881170687413156,0.29881170687413156,0.20153136914807113,1,1
8,0,-0.1839496936938463,2.8689911124565186,0.943703297831576,6,0,0.25402613547093195,0.25402613547093195,0.18458383612572274,0,-1
9,0,-0.2117643524499521,2.71839890464346,0.8893692592356752,54,0,0.16249263382033952,0.16249263382033952,0.2007438880549358,0,-1
10,0,-0.1967994781566124,2.691754531225801,0.8399203624581839,26,0,0.05812971262569674,0.05812971262569674,0.17610902784574067,0,-1
11,0,-0.0979987778213621,2.643331926449844,1.0890237610786018,78,0,0.27232118948819845,0.27232118948819845,0.17812672118010459,0,-1
12,1,-0.0316213091789486,2.6292992398632946,1.3338786270379777,31,0,0.2540802826277451,0.2540802826277451,0.21175156321871277,1,2
13,0,-0.0463284626417684,2.568824057349412,1.2288333124944286,58,0,0.12209859200916073,0.12209859200916073,0.1973759960498163,0,-1
15,0,-0.0355173889305929,2.5099779489450795,1.0460944264061425,6,0,0.19228427985124147,0.19228427985124147,0.13543301954673145,0,-1
16,0,0.0142762761414723,2.478870444750414,1.0668639487035223,38,0,0.062277274787770696,0.062277274787770696,0.10987906910908087,0,-1
17,0,0.067354902324936,2.460591416983331,1.192665456475936,5,0,0.13775878473420974,0.13775878473420974,0.12297692990152131,0,-1
18,0,0.0643248330994575,2.4185860677902946,1.304512650871705,33,0,0.11951328618419405,0.11951328618419405,0.1293689049379886,0,-1
19,0,0.007111597100391,2.3532171949773977,1.1669368085140714,21,0,0.16270696453048972,0.16270696453048972,0.1440548738223273,1,3
20,0,0.1047020896109364,2.2597794408278,1.109892674192967,51,0,0.14665794008309152,0.14665794008309152,0.12529170360027506,0,-1
21,0,0.1673977831541341,2.291951445373253,1.152675453891581,66,0,0.08243879004495,0.08243879004495,0.12317363261258757,0,-1
22,0,0.2276644702087141,2.2199521363211048,1.0725553595418649,12,0,0.12343096690510397,0.12343096690510397,0.14007399544735555,0,-1
23,0,0.2931558091908453,2.233348881077641,1.2177399407088123,45,0,0.15983476111398967,0.15983476111398967,0.13486197595384897,0,-1
24,0,0.3896719521511221,2.213801488617727,1.3560415033329063,5,0,0.16977864597226794,0.16977864597226794,0.11204163852929655,0,-1
25,0,0.3896719521511221,2.213801488617727,1.3560415033329063,54,1,0.0,0.0,0.059586391684065224,0,-1
26,0,0.3896719521511221,2.213801488617727,1.3560415033329063,14,1,0.0,0.0,0.009031734080420219,0,-1
