frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap
1,17:22:11.916182,62531.916182,0.96717741102101,1.781130564869674,1.4174144257203565,-0.0697200018621515,0
2,17:22:11.977357,62531.977357,0.8480921606848297,1.707144450773784,1.3531745419914218,-0.0697200018621515,0
3,17:22:12.033243,62532.033243,0.8150562760480728,1.7070097680478151,1.3375054649013642,-0.0697200018621515,0
4,17:22:12.086399,62532.086399,0.8257513925861336,1.7024228126990308,1.349965725885508,-0.0697200018621515,0
5,17:22:12.151180,62532.15118,0.8623867760548591,1.693026117965556,1.358719333037307,-0.0697200018621515,0
6,17:22:12.206873,62532.206873,0.7485840762129838,1.7845864729435972,1.2466297681721277,-0.0697200018621515,0
7,17:22:12.256996,62532.256996,0.8555980882031099,1.6982819200392996,1.3327264065461624,-0.0697200018621515,0
8,17:22:12.307935,62532.307935,0.8239478820716574,1.7093663184098125,1.3142904601256085,-0.0697200018621515,0
9,17:22:12.363632,62532.363632,0.8436579883861159,1.668975784280888,1.345533916505754,-0.104440002789488,0
10,17:22:12.414638,62532.414638,0.8138339516111303,1.644884443865366,1.2503915264272596,-0.1391600037168245,0
11,17:22:12.470178,62532.470178,0.8925531678644278,1.6297638367718008,1.1420149327497302,-0.1391600037168245,0
12,17:22:12.530747,62532.530747,0.8481250019564407,1.6541999773597844,1.4590696555484426,-0.1391600037168245,0
13,17:22:12.588872,62532.588872,0.8421453694133103,1.6261445442668867,1.4035648778024097,-0.1391600037168245,0
14,17:22:12.641308,62532.641308,0.8529131024174235,1.5960502987050758,1.3774714674765431,-0.2088800055789761,0
15,17:22:12.696960,62532.69696,0.8209043380157351,1.5938150070688026,1.4189591839878526,-0.3480400092958007,0
16,17:22:12.751873,62532.751873,0.9412612614595433,1.5698458390619765,1.3725444016931092,-0.4174800111504737,0
17,17:22:12.802834,62532.802834,0.9312632421165964,1.492911116503085,1.2856276402075577,-0.4872000130126253,0
18,17:22:12.859250,62532.85925,0.7527076298315336,1.514988814656874,1.2502956779059635,-0.4872000130126253,0
19,17:22:12.911730,62532.91173,0.899843147953018,1.399100178988918,1.1370122140538983,-0.5566400148672983,0
20,17:22:12.971176,62532.971176,0.8167321945619219,1.4478675639942724,1.2612341049141684,-0.6958000185841229,0
21,17:22:13.029203,62533.029203,0.7886999335006111,1.388063718782406,1.3269798411411615,-0.7655200204462744,0
22,17:22:13.086566,62533.086566,0.7379510469910234,1.339018545837287,1.1350830968726588,-0.7655200204462744,0
23,17:22:13.133184,62533.133184,0.7509492281755218,1.3267722942739113,1.25577553233458,-0.6958000185841229,0
24,17:22:13.193225,62533.193225,0.7509492281755218,1.3267722942739113,1.25577553233458,-0.7655200204462744,0
25,17:22:13.245244,62533.245244,0.5919580572660167,1.2448955189556663,0.961101422103186,-0.6263600167294499,0
26,17:22:13.303309,62533.303309,0.55939626122144,1.229014198260681,1.2172963967102275,-0.6958000185841229,0
27,17:22:13.358916,62533.358916,0.5435219248277583,1.2039440298715594,1.3188883104257374,-0.6958000185841229,0
28,17:22:13.415903,62533.415903,0.4717618618346642,1.160880807792922,1.2771863923841682,-0.6958000185841229,0
29,17:22:13.469041,62533.469041,0.428147528673144,1.163763003618292,1.3320883977327578,-0.7655200204462744,0
30,17:22:13.522937,62533.522937,0.3693276968208913,1.1161147835152363,1.3426516345188677,-0.7655200204462744,0
31,17:22:13.578765,62533.578765,0.3458997840525879,1.0551144021308234,1.3927914937479329,-0.7655200204462744,0
32,17:22:13.632152,62533.632152,0.3458997840525879,1.0551144021308234,1.3927914937479329,-0.7655200204462744,0
33,17:22:13.691845,62533.691845,0.3720661786649712,0.9658140454417148,1.269651621918387,-0.904680024163099,0
34,17:22:13.740499,62533.740499,0.163991258539867,0.925375067617153,1.5354740048021984,-0.8349600223009475,0
35,17:22:13.797421,62533.797421,0.2429011837102099,0.8820511082461727,1.2946633266479315,-0.7655200204462744,0
36,17:22:13.849804,62533.849804,0.2227287297832441,0.8750141229060641,1.3535241577147112,-0.7655200204462744,0
37,17:22:13.906289,62533.906289,0.1681684560704366,0.8197215417279248,1.2920223844601768,-0.6263600167294499,0
38,17:22:13.954755,62533.954755,0.0731207943592019,0.7967933417752786,1.2917263912028734,-0.5566400148672983,0
39,17:22:14.013383,62534.013383,0.078044871718897,0.7716263687537221,1.5177798353335543,-0.5219200139399618,0
40,17:22:14.070007,62534.070007,-0.0289714619446013,0.7231506605189043,1.6033113706723536,-0.4174800111504737,0
41,17:22:14.127662,62534.127662,-0.0403911414524979,0.6889678702824594,1.557170044467128,-0.4174800111504737,0
42,17:22:14.173037,62534.173037,-0.0662961587150758,0.683240794491638,1.4035575855482645,-0.3480400092958007,0
43,17:22:14.227427,62534.227427,-0.0432634108002143,0.6310919517728728,1.3858300630463978,-0.3480400092958007,0
44,17:22:14.283425,62534.283425,-0.0432634108002143,0.6310919517728728,1.3858300630463978,-0.1391600037168245,0
45,17:22:14.339511,62534.339511,-0.0432634108002143,0.6310919517728728,1.3858300630463978,-0.0697200018621515,0
46,17:22:14.392983,62534.392983,,,,,1
47,17:22:14.446244,62534.446244,-0.3133996317332192,0.5478668093713568,1.4831512693343816,0.0697200018621515,0
48,17:22:14.503094,62534.503094,-0.3133996317332192,0.5478668093713568,1.4831512693343816,,0
49,17:22:14.559303,62534.559303,-0.3133996317332192,0.5478668093713568,1.4831512693343816,0.2783200074336491,0
50,17:22:14.618078,62534.618078,-0.6232346613656795,0.38449326788313,1.716541554471407,0.2783200074336491,0
51,17:22:14.676421,62534.676421,-0.6369680241174676,0.3807492119083022,1.6926915266821156,0.3480400092958007,0
52,17:22:14.727782,62534.727782,-0.6369680241174676,0.3807492119083022,1.6926915266821156,0.4174800111504737,0
53,17:22:14.786311,62534.786311,-0.7340044617825157,0.3062264856202223,1.644636678752985,0.5566400148672983,0
54,17:22:14.837228,62534.837228,-0.7457900967023344,0.3286831311361149,1.6121351075332266,0.4174800111504737,0
55,17:22:14.890612,62534.890612,-0.7872838744884564,0.3337533603478115,1.554416962150026,0.4872000130126253,0
56,17:22:14.946650,62534.94665,-0.8027666088296773,0.3099583283206421,1.6094673035793154,0.4872000130126253,0
57,17:22:15.004546,62535.004546,-0.8027666088296773,0.3099583283206421,1.6094673035793154,0.5566400148672983,0
58,17:22:15.059674,62535.059674,-0.8027666088296773,0.3099583283206421,1.6094673035793154,0.4872000130126253,0
59,17:22:15.113343,62535.113343,-0.9028921506992952,0.2140116042138682,1.4595117805160571,0.6263600167294499,0
60,17:22:15.168759,62535.168759,-0.9028921506992952,0.2140116042138682,1.4595117805160571,0.6958000185841229,0
61,17:22:15.219931,62535.219931,-0.9407512933323084,0.3323673629301174,1.5067819694528668,0.6263600167294499,0
62,17:22:15.276726,62535.276726,-0.9784692368285276,0.2914223506429575,1.487943869235621,0.6263600167294499,0
63,17:22:15.330379,62535.330379,-0.9784692368285276,0.2914223506429575,1.487943869235621,0.7655200204462744,0
64,17:22:15.384573,62535.384573,-0.9784692368285276,0.2914223506429575,1.487943869235621,0.6958000185841229,0
65,17:22:15.442119,62535.442119,-1.1198384199351363,0.3628772816752675,1.4385045553380107,0.7655200204462744,0
66,17:22:15.494786,62535.494786,-1.1198384199351363,0.3628772816752675,1.4385045553380107,,0
67,17:22:15.551387,62535.551387,-1.1803714502024114,0.4230339169276337,1.4424050874446466,0.7655200204462744,0
68,17:22:15.605269,62535.605269,-1.225287627455964,0.4767493642024703,1.4604482505198424,0.6958000185841229,0
69,17:22:15.661549,62535.661549,-1.225287627455964,0.4767493642024703,1.4604482505198424,0.6958000185841229,0
70,17:22:15.715980,62535.71598,-1.225287627455964,0.4767493642024703,1.4604482505198424,0.6958000185841229,0
71,17:22:15.771381,62535.771381,-1.317815576415073,0.6426077939351974,-0.4204232336638477,0.6958000185841229,0
72,17:22:15.828688,62535.828688,-1.3956050057583542,0.6388185812145343,-0.5326360048355477,0.7655200204462744,0
73,17:22:15.881861,62535.881861,-1.3956050057583542,0.6388185812145343,-0.5326360048355477,0.904680024163099,0
74,17:22:15.937029,62535.937029,-1.3956050057583542,0.6388185812145343,-0.5326360048355477,0.974120026017772,0
75,17:22:15.989223,62535.989223,-1.4831360997179424,0.6157034913283592,1.4154665233704014,0.974120026017772,0
76,17:22:16.043908,62536.043908,-1.489758964797448,0.6458597218404122,1.4161397673945229,0.904680024163099,0
77,17:22:16.101101,62536.101101,-1.5891068295498576,0.660432768217258,1.342626158679814,0.7655200204462744,0
78,17:22:16.156250,62536.15625,-1.576242757250229,0.7281468867624145,1.4025278574810216,0.6263600167294499,0
79,17:22:16.208708,62536.208708,-1.6329717620800763,0.8433019824093918,1.3920809427272722,0.6958000185841229,0
80,17:22:16.263381,62536.263381,-1.6087317787949178,0.8459203242300535,1.3850117833375588,0.5566400148672983,0
81,17:22:16.320004,62536.320004,-1.6087317787949178,0.8459203242300535,1.3850117833375588,0.6263600167294499,0
82,17:22:16.371959,62536.371959,-1.6703980844787878,0.8855135483261397,1.3954212863339934,0.5566400148672983,0
83,17:22:16.425669,62536.425669,-1.6764122001366355,0.9310639444513844,1.3800876182019206,0.5566400148672983,0
84,17:22:16.480719,62536.480719,-1.665411896201777,0.953082737594109,1.3606787203281403,0.5566400148672983,0
85,17:22:16.538530,62536.53853,-1.82016149612344,0.9430462960849784,1.3461814484379997,0.6263600167294499,0
86,17:22:16.594124,62536.594124,-1.804311362829768,0.9914661648065394,1.3917549510257592,0.6263600167294499,0
87,17:22:16.647396,62536.647396,-1.8402284679123493,1.0663963919242223,1.432890408415537,0.6263600167294499,0
88,17:22:16.701796,62536.701796,-1.8402284679123493,1.0663963919242223,1.432890408415537,1.2524400334514212,0
89,17:22:16.757378,62536.757378,-1.9631479859141348,1.1705087293963563,1.5149020070264436,0.5566400148672983,0
90,17:22:16.818668,62536.818668,-1.8739022612985503,1.1856821377971838,1.5168749865434157,0.4872000130126253,0
91,17:22:16.866091,62536.866091,-1.847997373334666,1.228606478921459,1.520629694521159,0.4174800111504737,0
92,17:22:16.923209,62536.923209,-1.9219247375265776,1.3007839646182782,1.534631728127402,0.4872000130126253,0
93,17:22:16.976146,62536.976146,-1.9219247375265776,1.3007839646182782,1.534631728127402,0.4872000130126253,0
94,17:22:17.035083,62537.035083,-1.966853060897012,1.3540976485799088,1.5685681085779044,0.5566400148672983,0
95,17:22:17.087167,62537.087167,-1.966853060897012,1.3540976485799088,1.5685681085779044,0.6263600167294499,0
