frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap
1,19:49:29.382999,71369.382999,,,,,1
2,19:49:29.442874,71369.442874,-0.4509139727998504,2.921461338779856,0.95646180898779,-0.0697200018621515,0
3,19:49:29.500198,71369.500198,-0.5242805724188826,2.803503804871195,1.0651280093400464,-0.0697200018621515,0
4,19:49:29.553355,71369.553355,-0.4767553550526497,2.866117322853331,0.8925892573724562,-0.0697200018621515,0
5,19:49:29.611338,71369.611338,-0.6303806828851944,2.7325224805341417,1.0307960498438693,-0.0697200018621515,0
6,19:49:29.666147,71369.666147,-0.5669988808055682,2.7068368874168174,0.9928001919793716,-0.0697200018621515,0
7,19:49:29.720174,71369.720174,-0.55091855518234,2.6791400462012342,0.92574793523246,-0.1391600037168245,0
8,19:49:29.773783,71369.773783,-0.5674281652750628,2.744928044512675,1.262759160335097,-0.0697200018621515,0
9,19:49:29.830225,71369.830225,-0.5921451470032907,2.708421471057324,1.0772535107794392,-0.1391600037168245,0
10,19:49:29.881217,71369.881217,-0.6327190898149314,2.6983129674367587,0.930381215866982,-0.1391600037168245,0
11,19:49:29.941101,71369.941101,-0.5964658263545114,2.7122858991341023,1.0544059297153516,-0.0697200018621515,0
12,19:49:29.994433,71369.994433,-0.4072557283271049,2.7819858994317004,0.9271018179173812,-0.0697200018621515,0
13,19:49:30.053180,71370.05318,-0.5275667355057304,2.7261143325503303,1.1859751493414123,-0.1391600037168245,0
14,19:49:30.110369,71370.110369,-0.5845332881006549,2.7193317587819656,1.13179521463183,-0.1391600037168245,0
15,19:49:30.162134,71370.162134,-0.4557917821651263,2.7092998070291383,1.0164997493647585,-0.0697200018621515,0
16,19:49:30.214430,71370.21443,-0.5038652712621016,2.705300926112632,1.1256314663534654,-0.1391600037168245,0
17,19:49:30.275244,71370.275244,-0.5327034621952629,2.674784264252905,0.9378779902292054,-0.1391600037168245,0
18,19:49:30.330302,71370.330302,-0.4756845732777561,2.70258439739699,1.022322243099226,-0.24360000650631258,0
19,19:49:30.382357,71370.382357,-0.4808959459603978,2.654020243550046,1.004181405068644,-0.3480400092958007,0
20,19:49:30.440260,71370.44026,-0.4933648142770916,2.637088076439833,0.8804693146078764,-0.2783200074336491,0
21,19:49:30.494246,71370.494246,-0.4413250350528758,2.6322643316880443,1.128337090544005,-0.3480400092958007,0
22,19:49:30.596231,71370.596231,-0.3507432558352174,2.597257720603392,1.0483169384372684,-0.2783200074336491,0
24,19:49:30.657618,71370.657618,-0.3220803614599542,2.588901749172121,1.376605909809587,-0.4174800111504737,0
25,19:49:30.714506,71370.714506,-0.3395344431695688,2.586840288198613,1.0485408840866672,-0.4174800111504737,0
26,19:49:30.763811,71370.763811,-0.2220098743149905,2.546464148035392,0.8689111481178076,-0.4174800111504737,0
27,19:49:30.817857,71370.817857,-0.2002595663273639,2.5417441998010144,1.0301280776072848,-0.3480400092958007,0
28,19:49:30.875639,71370.875639,-0.1867137604918418,2.538366761173241,1.428353936605642,-0.3480400092958007,0
29,19:49:30.929002,71370.929002,-0.1867137604918418,2.538366761173241,1.428353936605642,-0.5566400148672983,0
30,19:49:30.988693,71370.988693,-0.0790430200954507,2.5285907709807423,1.0393337095736666,-0.3480400092958007,0
31,19:49:31.044032,71371.044032,-0.0729652721792821,2.4519018030846,0.7631221769422702,-0.3480400092958007,0
32,19:49:31.105162,71371.105162,-0.0729652721792821,2.4519018030846,0.7631221769422702,-0.3480400092958007,0
33,19:49:31.162060,71371.16206,0.2146703501928376,2.5762756830132907,0.9252867150161632,-0.5566400148672983,0
34,19:49:31.211953,71371.211953,0.1183586276424248,2.4223811229805823,0.8576266129067164,-0.4872000130126253,0
35,19:49:31.264003,71371.264003,0.2360440997531459,2.5199956170832243,0.8901796468538642,-0.4174800111504737,0
36,19:49:31.321541,71371.321541,0.1230685652470881,2.382300117072338,1.0477829297020382,-0.5566400148672983,0
37,19:49:31.370700,71371.3707,0.1754261641399819,2.2631085102235398,0.772861843058346,-0.6958000185841229,0
38,19:49:31.428045,71371.428045,0.1290925485178663,2.2501801825960115,1.199609680756735,-0.6958000185841229,0
39,19:49:31.481479,71371.481479,0.0995077298638359,2.22745858695933,1.1303042917231887,-0.6958000185841229,0
40,19:49:31.538783,71371.538783,0.2138570686886738,2.1738908560312358,1.3876114650018645,-0.4872000130126253,0
41,19:49:31.592376,71371.592376,0.2102179982186602,2.170557907207741,1.2243278963911477,-0.4872000130126253,0
42,19:49:31.647008,71371.647008,0.274090504018206,2.1093941411211183,1.215060367745136,-0.3480400092958007,0
43,19:49:31.700588,71371.700588,0.3093001666984121,2.0907389606510414,1.4221258221076096,-0.3480400092958007,0
44,19:49:31.755001,71371.755001,0.304979797460971,2.0433532431108063,1.4436809242322095,-0.3480400092958007,0
45,19:49:31.806579,71371.806579,0.304979797460971,2.0433532431108063,1.4436809242322095,,0
46,19:49:31.864280,71371.86428,0.304979797460971,2.0433532431108063,1.4436809242322095,-0.0697200018621515,0
47,19:49:31.917264,71371.917264,0.3665504917680895,1.9002436042981303,1.0080223299115705,-0.2088800055789761,0
48,19:49:31.975053,71371.975053,0.4008725696972965,1.9968575316702148,1.2530549292818758,-0.2783200074336491,0
49,19:49:32.025938,71372.025938,0.4008725696972965,1.9968575316702148,1.2530549292818758,,0
50,19:49:32.080410,71372.08041,0.4881409445386189,1.8903268606599564,0.978075149594589,-0.2088800055789761,0
51,19:49:32.141703,71372.141703,0.4902236174993418,1.8447861108409365,1.283612184990736,-0.2088800055789761,0
