frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,0,1.5929991054408903,0.5589951323456077,0.456023093354319,3,0
2,0,1.5929991054408903,0.5589951323456077,0.456023093354319,2,1
3,0,1.5929991054408903,0.5589951323456077,0.456023093354319,4,1
4,0,1.0017161437239468,2.1445161748261534,1.3825186656058432,3,0
5,0,1.0017161437239468,2.1445161748261534,1.3825186656058432,3,1
6,0,1.0017161437239468,2.1445161748261534,1.3825186656058432,3,1
7,0,-0.7808549978701862,4.244487292588469,3.5158368169318535,3,0
8,0,-0.7808549978701862,4.244487292588469,3.5158368169318535,2,1
9,0,-0.7808549978701862,4.244487292588469,3.5158368169318535,0,1
10,0,-0.1103175017348708,0.1721106355904949,0.1490536279603468,1,0
11,0,-0.1103175017348708,0.1721106355904949,0.1490536279603468,4,1
12,0,-0.1103175017348708,0.1721106355904949,0.1490536279603468,4,1
13,0,-0.5229249936067005,2.3910426640609095,1.842844959845458,3,0
14,0,-0.5229249936067005,2.3910426640609095,1.842844959845458,4,1
15,0,-0.5229249936067005,2.3910426640609095,1.842844959845458,0,1
16,0,0.3048793069861219,1.314336400036771,-1.2370249667569082,4,0
17,0,0.3048793069861219,1.314336400036771,-1.2370249667569082,4,1
18,0,0.3048793069861219,1.314336400036771,-1.2370249667569082,0,1
19,-1,,,,0,0
20,0,-1.4833870381943723,3.295809332050958,0.03423436389401605,2,0
21,0,-1.4833870381943723,3.295809332050958,0.03423436389401605,2,1
22,0,-1.4833870381943723,3.295809332050958,0.03423436389401605,3,1
23,0,0.954109211300403,5.355243156548985,1.613622136513679,2,0
24,0,0.954109211300403,5.355243156548985,1.613622136513679,1,1
25,0,0.954109211300403,5.355243156548985,1.613622136513679,4,1
26,0,-0.3678598066079585,3.7365710266546124,2.3917606954594373,4,0
27,0,-0.3678598066079585,3.7365710266546124,2.3917606954594373,3,1
28,0,-0.3678598066079585,3.7365710266546124,2.3917606954594373,0,1
29,-1,,,,0,0
30,-1,,,,0,0
31,-1,,,,0,0
32,0,-0.7317409671118166,0.1771239233300647,0.9973724587944794,4,0
33,0,-0.7317409671118166,0.1771239233300647,0.9973724587944794,0,1
34,0,-0.7317409671118166,0.1771239233300647,0.9973724587944794,0,1
35,-1,,,,0,0
36,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,5,0
37,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,14,1
38,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,25,1
39,0,-1.108208879015178,0.45554110009091614,1.4342780103746693,11,0
40,0,-1.108208879015178,0.45554110009091614,1.4342780103746693,42,1
41,0,-1.2155213240029543,0.5542370048027334,1.5346244420111963,42,0
42,0,-1.2604909341020714,0.6644127499659362,1.5114462410615885,36,0
43,0,-1.2674393356938498,0.6618026546914232,1.535454801260062,56,0
44,0,-1.3143823361905416,0.6613493274426414,1.3156961342518456,49,0
45,0,-1.3293228409182225,0.7680731859751251,1.5743678929300702,57,0
46,0,-1.3634423943444922,0.8670739696624532,1.5336883264886199,52,0
47,0,-1.4029864468392619,0.8717471225229756,1.5898782437795371,53,0
48,0,-1.4219982746261235,0.9118775599838822,1.5296426720342828,49,0
49,0,-1.4766135034666845,0.8899412591345132,1.3941365112115491,86,0
50,0,-1.4871097088054697,1.0611129251389229,1.6849710555412512,13,0
51,0,-1.578880851216562,1.058904547201263,1.5155852483168035,38,0
52,0,-1.5590239638608108,1.0740383227314292,1.667722738059604,35,0
53,0,-1.5768513315977337,1.1318305017757055,1.6108915572098448,53,0
54,0,-1.592245912258881,1.1370279773028886,1.6232818004509282,33,0
55,0,-1.6363981456413177,1.193133435257962,1.6355625735238184,44,0
56,0,-1.6868466604485366,1.2133074475142942,1.6938838349948617,51,0
57,0,-1.7066719898457343,1.2510117387893356,1.6337809633629503,61,0
58,0,-1.7534616293283498,1.2992001721423025,1.622110463840132,68,0
59,0,-1.7499052144066374,1.3686490105922924,1.628060647946054,68,0
60,0,-1.8495068540804012,1.3529372609361698,1.686376406006804,58,0
61,0,-1.9526366060300608,1.3595965760734667,1.69833764142827,26,0
62,0,-1.87989635581691,1.4208830415190263,1.7290084272048651,32,0
63,0,-1.900184998441096,1.4940209279904257,1.5468177947815016,74,0
64,0,-1.815468869084694,1.5752984522911768,1.6026113483363558,104,0
65,0,-2.005219664921739,1.4939246386255294,1.7657116506190098,51,0
66,0,-1.9747939746132037,1.579904055514739,1.744232086279005,59,0
67,0,-1.9747939746132037,1.579904055514739,1.744232086279005,29,1
68,1,-1.7530072128733685,1.9320796310142956,1.513461339049131,5,0
69,1,-1.7530072128733685,1.9320796310142956,1.513461339049131,12,1
70,0,-1.960628267554464,1.794156262051638,1.6912065735386974,107,0
71,0,-1.9357418482767317,1.8225496773548804,1.6473134997367163,44,0
72,0,-2.2200424961690954,1.6230943021605846,1.9150064728000316,26,0
73,0,-2.0775553232955057,1.818323111828148,1.77868551212365,73,0
74,1,-1.795991862107477,2.1046235601190735,1.5170123300384868,22,0
75,0,-2.0302588520885974,1.9162787452285341,1.6980995123143923,63,0
76,0,-2.072323421018922,1.9239884234274607,1.6922524806885073,64,0
77,0,-2.1075484713175756,1.9583562578815732,1.699483168584738,66,0
78,0,-2.342361941971636,1.7330753746774736,1.8578558330941997,13,0
79,0,-2.342361941971636,1.7330753746774736,1.8578558330941997,5,1
80,0,-2.342361941971636,1.7330753746774736,1.8578558330941997,5,1
81,1,-1.95315415532534,2.205501617197139,1.626443260966219,14,0
82,1,-1.95315415532534,2.205501617197139,1.626443260966219,21,1
83,1,-1.95315415532534,2.205501617197139,1.626443260966219,8,1
84,-1,,,,0,0
