frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap,gait_signal_raw,gait_signal_smooth,step_event
1,16:55:11.468060,60911.46806,,,,,1,,1.217720032524085,0
2,16:55:11.522108,60911.522108,,,,,1,,1.217720032524085,0
3,16:55:11.576117,60911.576117,-1.1953734129679925,1.9285560004778763,2.26303805923107,1.217720032524085,0,1.217720032524085,1.217720032524085,0
4,16:55:11.632932,60911.632932,-1.1953734129679925,1.9285560004778763,2.26303805923107,,0,,1.217720032524085,1
5,16:55:11.688056,60911.688056,-1.1953734129679925,1.9285560004778763,2.26303805923107,,0,,1.217720032524085,0
6,16:55:11.742953,60911.742953,,,,,1,,0.1391600037168245,0
7,16:55:11.797850,60911.79785,,,,,1,,0.1391600037168245,0
8,16:55:11.853465,60911.853465,0.5754431508545527,2.806871513271653,0.361286935544086,0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
9,16:55:11.910427,60911.910427,0.5754431508545527,2.806871513271653,0.361286935544086,0.1391600037168245,0,0.1391600037168245,0.104440002789488,0
10,16:55:11.966326,60911.966326,0.5754431508545527,2.806871513271653,0.361286935544086,0.0697200018621515,0,0.0697200018621515,0.104440002789488,0
11,16:55:12.019283,60912.019283,0.571213568802351,2.799270349404749,1.4806086380691048,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
12,16:55:12.073167,60912.073167,0.571213568802351,2.799270349404749,1.4806086380691048,,0,,0.0697200018621515,0
13,16:55:12.128725,60912.128725,0.7128216211690499,2.800167573938994,1.4753560910049903,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
14,16:55:12.183885,60912.183885,0.7128216211690499,2.800167573938994,1.4753560910049903,,0,,0.0697200018621515,0
15,16:55:12.237393,60912.237393,0.7128216211690499,2.800167573938994,1.4753560910049903,,0,,0.0697200018621515,0
16,16:55:12.294188,60912.294188,,,,,1,,0.0697200018621515,0
17,16:55:12.348106,60912.348106,0.517862064392651,3.369871390058665,0.1311746342251889,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
18,16:55:12.404005,60912.404005,0.517862064392651,3.369871390058665,0.1311746342251889,,0,,0.0697200018621515,0
19,16:55:12.458115,60912.458115,0.7540261774137589,3.001991024842236,0.0406869540686808,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
20,16:55:12.515011,60912.515011,0.7540261774137589,3.001991024842236,0.0406869540686808,,0,,0.104440002789488,0
21,16:55:12.570492,60912.570492,0.7540261774137589,3.001991024842236,0.0406869540686808,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
22,16:55:12.627092,60912.627092,,,,,1,,0.2088800055789761,0
23,16:55:12.682363,60912.682363,0.4107532775804712,2.823165552606949,1.560888087101698,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
24,16:55:12.738425,60912.738425,0.4107532775804712,2.823165552606949,1.560888087101698,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
25,16:55:12.792428,60912.792428,0.334164752292498,2.784531894566584,1.538345918794101,-0.2783200074336491,0,0.2783200074336491,0.2088800055789761,0
26,16:55:12.847018,60912.847018,0.334164752292498,2.784531894566584,1.538345918794101,,0,,0.2088800055789761,0
27,16:55:12.904125,60912.904125,0.334164752292498,2.784531894566584,1.538345918794101,0.0697200018621515,0,0.0697200018621515,0.2783200074336491,0
28,16:55:12.957088,60912.957088,,,,,1,,0.5566400148672983,0
29,16:55:13.014106,60913.014106,0.1230091760955191,2.70373173121401,1.5431443883161051,-0.5566400148672983,0,0.5566400148672983,0.41748001115047373,0
