frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap,gait_signal_raw,gait_signal_smooth,step_event
1,19:40:03.560713,70803.560713,-2.5047772407824462,1.4614403746832674,1.0339246023764672,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
2,19:40:03.621043,70803.621043,-2.5216763180645025,1.4596729773509003,1.0363251973606826,-0.0697200018621515,0,0.0697200018621515,0.104440002789488,0
3,19:40:03.673373,70803.673373,-2.579296953767823,1.4136946375072013,1.0298661537200455,-0.2783200074336491,0,0.2783200074336491,0.1391600037168245,0
4,19:40:03.731312,70803.731312,-2.5432582100769694,1.3990823111787616,0.9615211729532256,-0.1391600037168245,0,0.1391600037168245,0.2088800055789761,0
5,19:40:03.785428,70803.785428,-2.535795408385273,1.4319385541848688,0.9146555347299647,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
6,19:40:03.841222,70803.841222,-2.499113937187936,1.4338553904491396,0.9200552826991318,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
7,19:40:03.889865,70803.889865,-2.445411890208145,1.424016790020386,0.9267140261109336,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
8,19:40:03.948533,70803.948533,-2.459400856849664,1.4850132424167723,1.0095773091017224,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
9,19:40:04.004266,70804.004266,-2.453104683321508,1.428890839335762,1.0315758340510144,-0.3827600102231372,0,0.3827600102231372,0.3480400092958007,1
10,19:40:04.058406,70804.058406,-2.4183796949569736,1.4775494567507652,1.0678783991629854,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
11,19:40:04.117647,70804.117647,-2.3753967361805874,1.391734964118547,0.9485491486508488,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
12,19:40:04.167811,70804.167811,-2.393262928664957,1.2437437810783356,0.743301960542853,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
13,19:40:04.224341,70804.224341,-2.393262928664957,1.2437437810783356,0.743301960542853,-0.4872000130126253,0,0.4872000130126253,0.4174800111504737,0
14,19:40:04.274945,70804.274945,-2.393262928664957,1.2437437810783356,0.743301960542853,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,1
15,19:40:04.334279,70804.334279,-2.2978540472268003,1.3883904565306349,1.065724840653976,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,0
16,19:40:04.383942,70804.383942,-2.330746750259944,1.4081910372258857,0.9282325850011994,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
17,19:40:04.439457,70804.439457,-2.328679962053051,1.45007798485308,1.0901112637772534,-0.2088800055789761,0,0.2088800055789761,0.2783200074336491,0
18,19:40:04.499240,70804.49924,-2.303844075197547,1.3477470514579486,1.0425637814255009,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
19,19:40:04.555059,70804.555059,-2.282111169505856,1.2677705042389495,1.0559880015658862,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
20,19:40:04.610690,70804.61069,-2.257790744017538,1.3132329027940055,0.9195077553198572,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
21,19:40:04.664623,70804.664623,-2.2962307877411154,1.3406863540557383,1.0303028819253697,-0.1391600037168245,0,0.1391600037168245,0.2783200074336491,0
22,19:40:04.717269,70804.717269,-2.2280079585941057,1.382613783205885,1.176283405492662,-0.2088800055789761,0,0.2088800055789761,0.2783200074336491,0
23,19:40:04.768751,70804.768751,-2.131995505449849,1.4351814935030898,1.341019769609954,-0.2783200074336491,0,0.2783200074336491,0.2088800055789761,0
24,19:40:04.827339,70804.827339,-2.174277670520896,1.2934260322193447,0.9529229734315526,-0.2783200074336491,0,0.2783200074336491,0.2088800055789761,0
25,19:40:04.886510,70804.88651,-2.134229129887219,1.3636870186687058,1.106631749365084,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
26,19:40:04.937162,70804.937162,-2.1714267748478973,1.1566825578260442,0.8631859933948707,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
27,19:40:04.994941,70804.994941,-2.135881956599234,1.3740459110749343,1.1417157057471872,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
28,19:40:05.046737,70805.046737,-2.2119764281232603,1.4432451395206998,1.1530958039548989,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
29,19:40:05.103017,70805.103017,-2.1509334654251724,1.361880701420915,1.081786272781459,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
30,19:40:05.159192,70805.159192,-2.124037810593718,1.4533072416774744,1.3565826205553586,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
31,19:40:05.215201,70805.215201,-2.0595972854866345,1.4176527365806926,1.3899376378611326,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
32,19:40:05.268315,70805.268315,-2.144495205906679,1.328263473032836,1.093933895316264,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
33,19:40:05.323016,70805.323016,-2.139721396349123,1.487596338778947,1.3584062288216374,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
34,19:40:05.375486,70805.375486,-2.139721396349123,1.487596338778947,1.3584062288216374,-0.417620011154213,0,0.417620011154213,0.3480400092958007,0
35,19:40:05.436914,70805.436914,-2.1212592702521,1.3938588742805016,1.3468127760233917,-0.3480400092958007,0,0.3480400092958007,0.4174800111504737,0
36,19:40:05.488162,70805.488162,-2.020349616311518,1.4488050762740283,1.513015184587101,-0.4174800111504737,0,0.4174800111504737,0.417620011154213,1
37,19:40:05.545429,70805.545429,-1.9769600183894296,1.4798621560347678,1.453090963542458,-0.4872000130126253,0,0.4872000130126253,0.4174800111504737,0
38,19:40:05.606274,70805.606274,-1.8111890032959943,1.6563849985968029,1.2607337951101174,-0.4872000130126253,0,0.4872000130126253,0.4872000130126253,0
39,19:40:05.651736,70805.651736,-1.612752977959996,1.8900169583691349,0.9055859797462176,-0.2783200074336491,0,0.2783200074336491,0.4872000130126253,0
40,19:40:05.708158,70805.708158,-1.6006300578642365,1.7285338670160868,1.0122672277318587,-0.5915000157983741,0,0.5915000157983741,0.5566400148672983,0
41,19:40:05.759314,70805.759314,-1.5562496690523806,1.643589694225008,1.1237895932834938,-0.5566400148672983,0,0.5566400148672983,0.5566400148672983,1
42,19:40:05.817146,70805.817146,-1.7880730106984666,1.3590057863817682,1.3264429280500791,-0.5566400148672983,0,0.5566400148672983,0.5566400148672983,0
43,19:40:05.873421,70805.873421,-1.517312100530419,1.6396388420077663,1.2157135176266602,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,0
44,19:40:05.929348,70805.929348,-1.4592540256577429,1.653618539327973,1.344335345078763,-0.3827600102231372,0,0.3827600102231372,0.3827600102231372,0
45,19:40:05.984071,70805.984071,-1.4482613218624063,1.6608135319954307,1.4367645120437949,-0.2783200074336491,0,0.2783200074336491,0.3480400092958007,0
46,19:40:06.042306,70806.042306,-1.4383193449461316,1.6334944105612053,1.358638755870504,-0.3480400092958007,0,0.3480400092958007,0.3131800083647249,0
47,19:40:06.094492,70806.094492,-1.367240904979358,1.603263621650565,1.3313372749756716,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
48,19:40:06.150927,70806.150927,-1.367240904979358,1.603263621650565,1.3313372749756716,,0,,0.2783200074336491,0
49,19:40:06.203629,70806.203629,-1.336554730926367,1.6920401848149678,1.5885683415273926,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
50,19:40:06.257667,70806.257667,-1.336554730926367,1.6920401848149678,1.5885683415273926,,0,,0.1391600037168245,0
51,19:40:06.311336,70806.311336,-1.1969924540478267,1.7858034256814928,1.4764697382654108,-0.1391600037168245,0,0.1391600037168245,0.104440002789488,0
52,19:40:06.368699,70806.368699,-1.164463819764068,1.7302755784308337,1.4885741924505294,-0.0697200018621515,0,0.0697200018621515,0.104440002789488,0
53,19:40:06.422107,70806.422107,-1.1102727922751152,1.7383343916414562,1.3496514171820273,-0.0697200018621515,0,0.0697200018621515,0.1391600037168245,0
54,19:40:06.474854,70806.474854,-1.0508676643174166,1.8316458982969028,1.3544366743965008,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
55,19:40:06.534579,70806.534579,-1.06512540684201,1.7999693372754693,1.413261028588967,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
56,19:40:06.592276,70806.592276,-0.9554029951623116,1.8437983605654045,1.066728402398477,-0.2436000065063125,0,0.2436000065063125,0.2436000065063125,0
57,19:40:06.646045,70806.646045,-0.9721584726852156,1.811097050977475,1.3835976032620885,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,1
58,19:40:06.705333,70806.705333,-0.930069423817558,1.8394202634524643,1.396896906275765,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
59,19:40:06.761132,70806.761132,-0.8638699805940094,1.856147261696868,1.3014182459765644,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
60,19:40:06.810974,70806.810974,-0.8638699805940094,1.856147261696868,1.3014182459765644,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
61,19:40:06.863326,70806.863326,-0.8638699805940094,1.856147261696868,1.3014182459765644,-0.2783200074336491,0,0.2783200074336491,0.3480400092958007,0
62,19:40:06.916472,70806.916472,-0.8048205016935008,1.7278195063173598,0.8311071622576173,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,1
63,19:40:06.972188,70806.972188,-0.6626369643324607,1.8611228071586032,1.0759963720486467,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,0
64,19:40:07.026342,70807.026342,-0.6661241492379025,1.7823313584005291,1.3330688927694432,-0.4872000130126253,0,0.4872000130126253,0.4174800111504737,0
65,19:40:07.082096,70807.082096,-0.6424818619843413,1.69394513289252,1.2589259091118767,-0.5566400148672983,0,0.5566400148672983,0.4174800111504737,0
66,19:40:07.139420,70807.13942,-0.6424818619843413,1.69394513289252,1.2589259091118767,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
