subject,trial_name,trial_num,step_count_raw,duration_raw_sec,distance_2d_raw_m,speed_raw_ms,step_count_valid,mean_step_time,step_time_std,cadence_spm,duration_valid_sec,distance_2d_valid_m,walking_speed_ms,step_length_m,ratio_valid_steps,is_valid_trial,duration_walk_sec,distance_2d_m
Miftah,Jalan1,1,8,3.4164529999980005,2.779570727106882,0.8135837744902414,6,0.2964009999996051,0.03208669208750927,202.4284668407999,1.4820049999980256,1.3675572768390385,0.9227750762250198,0.2279262128065064,0.75,1,1.4820049999980256,1.3675572768390385
Miftah,Jalan2,2,3,0.8236219999962486,2.0125472433163147,2.4435326440108223,3,0.4118109999981243,0.03831528804108451,145.69790510761803,0.8236219999962486,2.0125472433163147,2.4435326440108223,0.6708490811054383,1.0,0,0.8236219999962486,2.0125472433163147
Miftah,Jalan3,3,3,0.6603509999986272,5.882904181144216,8.908753346563337,3,0.3301754999993136,0.00048153972151520323,181.72153900009155,0.6603509999986272,5.882904181144216,8.908753346563337,1.9609680603814053,1.0,0,0.6603509999986272,5.882904181144216
Miftah,Jalan4,4,9,3.4746830000076443,2.459090098303021,0.7077163868754678,6,0.27433620000083464,0.0030502364952160943,218.70974373712787,1.3716810000041733,1.2293282985261942,0.8962202571315444,0.2048880497543657,0.6666666666666666,1,1.3716810000041733,1.2293282985261942
Miftah,Jalan5,5,6,2.910071999998763,2.213928936937523,0.7607814985122237,5,0.2764296666670513,0.004467098087958679,217.05340357794393,1.2202370000013616,1.368241360721057,1.1212914874073892,0.2736482721442114,0.8333333333333334,1,1.2202370000013616,1.368241360721057
Miftah,Jalan6,6,3,0.6038050000061048,4.136858017102364,6.851314608293303,3,0.3019025000030524,0.039854659505227125,198.73965932509125,0.6038050000061048,4.136858017102364,6.851314608293303,1.3789526723674548,1.0,0,0.6038050000061048,4.136858017102364
Miftah,Jalan7,7,8,1.9770290000014938,1.7111305186952492,0.8655060288412342,8,0.27450550000018364,0.00428756782818795,218.574855512767,1.9770290000014938,1.7111305186952492,0.8655060288412342,0.21389131483690615,1.0,1,1.9770290000014938,1.7111305186952492
Miftah,Jalan8,8,9,3.177150999996229,2.3403962855587914,0.7366336335797604,9,0.30623085714095005,0.04412841588329163,195.93061443962705,3.177150999996229,2.3403962855587914,0.7366336335797604,0.2600440317287546,1.0,1,3.177150999996229,2.3403962855587914
Miftah,Jalan9,9,4,4.411552999998094,1.0992875879206554,0.2491838107625887,3,0.35690250000334345,0.03657509825512903,168.11314014174158,0.7138050000066869,0.7454441893831425,1.044324695646793,0.2484813964610475,0.75,0,0.7138050000066869,0.7454441893831425
Miftah,Jalan10,10,3,0.7156610000092769,2.1588000449725966,3.0165120705817596,3,0.35783050000463845,0.03810951997527255,167.6771544047314,0.7156610000092769,2.1588000449725966,3.0165120705817596,0.7196000149908656,1.0,0,0.7156610000092769,2.1588000449725966
Miftah,Jalan11,11,6,2.1343419999902835,3.0124877327625166,1.41143628002271,6,0.2748867499976768,0.0024636580388960475,218.271706440951,2.1343419999902835,3.0124877327625166,1.41143628002271,0.5020812887937528,1.0,1,2.1343419999902835,3.0124877327625166
Miftah,Jalan12,12,6,1.7046279999922263,4.888746109250214,2.867925500034323,6,0.34092559999844524,0.04599455394413516,175.99147732019426,1.7046279999922263,4.888746109250214,2.867925500034323,0.814791018208369,1.0,1,1.7046279999922263,4.888746109250214
Miftah,Jalan13,13,5,4.994301000013365,3.606077007821526,0.7220383809089351,5,1.2485752500033414,0.6839284145444823,48.05477282994311,4.994301000013365,3.606077007821526,0.7220383809089351,0.7212154015643052,1.0,1,4.994301000013365,3.606077007821526
Miftah,Jalan14,14,4,2.4718770000035875,3.427477111199709,1.3865888598804612,4,0.8239590000011958,0.5024481507132756,72.8191572637873,2.4718770000035875,3.427477111199709,1.3865888598804612,0.8568692777999273,1.0,1,2.4718770000035875,3.427477111199709
Miftah,Jalan15,15,8,4.7900099999969825,3.0642995542303204,0.6397271726431157,8,0.6842871428567118,0.4286970015476323,87.68248918066237,4.7900099999969825,3.0642995542303204,0.6397271726431157,0.38303744427879005,1.0,1,4.7900099999969825,3.0642995542303204
Miftah,Jalan16,16,8,4.8249179999984335,3.3321465837552293,0.6906120650664552,7,0.3833637999981875,0.12819054825718595,156.50930004419737,3.679082999995444,2.740640605716253,0.7449249189865103,0.3915200865308933,0.875,1,3.679082999995444,2.740640605716253
Miftah,Jalan17,17,6,2.644922999999835,3.1192551594769955,1.1793368500622474,5,0.2712506666672804,0.0034345439772159973,221.19761303147976,1.2101410000032047,1.4549413592712979,1.2022907737754898,0.2909882718542596,0.8333333333333334,1,1.2101410000032047,1.4549413592712979
Miftah,Jalan18,18,9,5.88305199999013,3.628932305529954,0.6168451860592159,9,0.5807457142842135,0.41880203999884513,103.31544172297818,5.88305199999013,3.628932305529954,0.6168451860592159,0.4032147006144393,1.0,1,5.88305199999013,3.628932305529954
Miftah,Jalan19,19,5,4.396554999999353,3.149051940493945,0.7162544174915152,5,1.0991387499998382,0.9399626833824414,54.588194620568906,4.396554999999353,3.149051940493945,0.7162544174915152,0.629810388098789,1.0,1,4.396554999999353,3.149051940493945
Miftah,Jalan20,20,6,2.5858229999867035,2.9548079687729105,1.1426953696320685,6,0.30371699999523116,0.03170048974815953,197.55232667562927,2.5858229999867035,2.9548079687729105,1.1426953696320685,0.4924679947954851,1.0,1,2.5858229999867035,2.9548079687729105
