subject,trial_name,trial_num,step_count_raw,duration_raw_sec,distance_2d_raw_m,speed_raw_ms,step_count_valid,mean_step_time,step_time_std,cadence_spm,duration_valid_sec,distance_2d_valid_m,walking_speed_ms,step_length_m,ratio_valid_steps,is_valid_trial,duration_walk_sec,distance_2d_m
Kinan,Jalan1,1,4,1.0482179999962682,0.882740035039325,0.8421340170102666,4,0.34940599999875604,0.0870666182247803,171.7200048087715,1.0482179999962682,0.882740035039325,0.8421340170102666,0.22068500875983124,1.0,0,1.0482179999962682,0.882740035039325
Kinan,Jalan2,2,6,3.566017000004649,1.1160989898968743,0.3129819599557207,4,0.2740646666667696,0.0007425828806711493,218.9264334207406,0.8221940000003087,0.7548587946966778,0.9181030203290153,0.18871469867416946,0.6666666666666666,0,0.8221940000003087,0.7548587946966778
Kinan,Jalan3,3,9,4.413943999999901,2.372239667423005,0.5374421758461498,7,0.2770371999999043,0.008160568957182509,216.57741270854865,1.7672069999971427,1.286816208077241,0.7281638246562635,0.18383088686817728,0.7777777777777778,1,1.7672069999971427,1.286816208077241
Kinan,Jalan4,4,9,3.6465210000023944,2.068646235726156,0.567293109164817,9,0.2841966666674125,0.02394040583306171,211.12140653717216,3.6465210000023944,2.068646235726156,0.567293109164817,0.22984958174735068,1.0,1,3.6465210000023944,2.068646235726156
Kinan,Jalan5,5,6,3.5637469999928726,0.6360432850188139,0.17847599311064619,5,0.30416074999993725,0.0312874404847214,197.26411116494282,1.216642999999749,1.2817576866079614,1.0535199615731368,0.25635153732159227,0.8333333333333334,1,1.216642999999749,1.2817576866079614
Kinan,Jalan6,6,10,4.136378000002878,2.012760956259726,0.4865998601332677,7,0.27438560000009604,0.0017243596760276663,218.6703675410772,1.697760000002745,1.3384479952421102,0.7883611318678412,0.1912068564631586,0.7,1,1.697760000002745,1.3384479952421102
Kinan,Jalan7,7,7,3.485704999999143,1.5109408875697574,0.4334678028032002,7,0.34228080000029876,0.09193741888191635,175.29467034068995,3.485704999999143,1.5109408875697574,0.4334678028032002,0.21584869822425107,1.0,1,3.485704999999143,1.5109408875697574
Kinan,Jalan8,8,6,4.0620879999987665,2.3405964539733786,0.5762052555173816,6,0.4155429999991611,0.20791943131675827,144.38938930536943,4.0620879999987665,2.3405964539733786,0.5762052555173816,0.3900994089955631,1.0,1,4.0620879999987665,2.3405964539733786
Kinan,Jalan9,9,6,1.5362590000004275,1.2963667091564772,0.8438464537269539,6,0.2874420000007376,0.025956992222875886,208.7377627481232,1.5362590000004275,1.2963667091564772,0.8438464537269539,0.2160611181927462,1.0,1,1.5362590000004275,1.2963667091564772
Kinan,Jalan10,10,5,2.8141040000045905,2.153834377098269,0.7653712787781672,4,0.3124890000011267,0.061948888632411166,192.00675863721173,0.9374670000033802,0.8298851730789671,0.8852420117998552,0.20747129326974179,0.8,0,0.9374670000033802,0.8298851730789671
Kinan,Jalan11,11,3,2.5709590000042226,2.6517428984892706,1.0314216984731828,3,1.2854795000021113,1.35246122006356,46.67519007491092,2.5709590000042226,2.6517428984892706,1.0314216984731828,0.8839142994964235,1.0,0,2.5709590000042226,2.6517428984892706
Kinan,Jalan12,12,7,4.46243400000094,1.6192480046022557,0.362862062408523,7,0.40754939999897033,0.09170398796886584,147.2214165942867,4.46243400000094,1.6192480046022557,0.362862062408523,0.23132114351460795,1.0,1,4.46243400000094,1.6192480046022557
Kinan,Jalan13,13,6,4.513180999994802,3.6398512553367697,0.8064935253740017,5,0.6323127499999828,0.4401988110844652,94.88975194632978,2.529250999999931,2.7155605802355463,1.0736619577240931,0.5431121160471093,0.8333333333333334,1,2.529250999999931,2.7155605802355463
Kinan,Jalan14,14,8,4.400330000004033,3.692542265560972,0.839151214921969,7,0.3966159999996307,0.12799622503023275,151.27982733943125,3.078707000000577,3.484872274828987,1.1319272262116316,0.497838896404141,0.875,1,3.078707000000577,3.484872274828987
Kinan,Jalan15,15,6,3.850691999999981,3.249873543324742,0.8439713026450202,5,0.2977486666641198,0.036353828635311725,201.51223739209541,2.042111999995541,1.8187359085393993,0.8906151614325614,0.36374718170787984,0.8333333333333334,1,2.042111999995541,1.8187359085393993
Kinan,Jalan16,16,5,1.2012389999945299,0.6378154678284027,0.5309646688388465,5,0.30030974999863247,0.028632745153415313,199.79371299224624,1.2012389999945299,0.6378154678284027,0.5309646688388465,0.12756309356568055,1.0,1,1.2012389999945299,0.6378154678284027
Kinan,Jalan17,17,7,2.374266999999236,3.1001258783712613,1.3057191454761654,7,0.29837980000011155,0.031745714539915475,201.0859984488815,2.374266999999236,3.1001258783712613,1.3057191454761654,0.44287512548160873,1.0,1,2.374266999999236,3.1001258783712613
Kinan,Jalan18,18,7,5.606188999998267,3.4634479430218392,0.6177900786118538,7,0.9343648333330444,0.527252979488466,64.21474552501019,5.606188999998267,3.4634479430218392,0.6177900786118538,0.49477827757454845,1.0,1,5.606188999998267,3.4634479430218392
Kinan,Jalan19,19,7,3.028308000000834,2.608614923885042,0.861410042797603,7,0.29835840000014285,0.029551226180112803,201.1004215063872,3.028308000000834,2.608614923885042,0.861410042797603,0.3726592748407203,1.0,1,3.028308000000834,2.608614923885042
Kinan,Jalan20,20,9,4.891069000004791,3.2327327236151313,0.6609460475024918,7,0.3187246666675492,0.06468353128446865,188.2502557060761,1.912348000005295,1.4402911214982994,0.7531532553145721,0.20575587449975705,0.7777777777777778,1,1.912348000005295,1.4402911214982994
Kinan,Jalan21,21,6,2.586310999999114,2.318650923032515,0.8965089360998386,6,0.27552449999893724,0.007623662700689841,217.766478118031,2.586310999999114,2.318650923032515,0.8965089360998386,0.3864418205054192,1.0,1,2.586310999999114,2.318650923032515
Kinan,Jalan22,22,4,4.797475999999733,3.5407468087188514,0.7380436731145812,3,0.47464599999875645,0.030493272829179754,126.40999818845455,0.9492919999975129,4.166740510304083,4.389313836327495,1.3889135034346944,0.75,0,0.9492919999975129,4.166740510304083
Kinan,Jalan23,23,5,2.367206000002625,2.3235133140035886,0.9815425079190455,4,0.27793799999926705,0.001919723681595379,215.87548302196254,0.8338139999978011,0.6683276675845395,0.8015308780930783,0.16708191689613489,0.8,0,0.8338139999978011,0.6683276675845395
Kinan,Jalan24,24,7,4.300892999999633,2.81089014660546,0.6535596553101182,7,0.7168154999999388,0.4926909125970816,83.70354714707638,4.300892999999633,2.81089014660546,0.6535596553101182,0.4015557352293514,1.0,1,4.300892999999633,2.81089014660546
Kinan,Jalan25,25,7,3.4531840000126977,1.5904308254611539,0.4605693833445613,5,0.2765522500012594,0.005336485012180101,216.95719344075764,1.1062090000050375,0.9973728874435877,0.901613426973606,0.19947457748871752,0.7142857142857143,0,1.1062090000050375,0.9973728874435877
Kinan,Jalan26,26,5,1.1499369999946794,1.3292237220848429,1.1559100386290666,4,0.2730299999966519,0.004256470481869083,219.7560707641496,0.8190899999899557,0.8990326888440366,1.0975993954938545,0.22475817221100916,0.8,0,0.8190899999899557,0.8990326888440366
