frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,delta_d,v_step_frame,v_step_smooth,step_flag,step_index
4,0,0.4897891917928568,1.3739840302902415,1.58737528382879,5,0,0.0,0.0,0.002946451086175322,0,-1
5,0,0.4757630242167459,1.404699553012312,1.5923720031886033,15,0,0.03413420450697381,0.03413420450697381,0.013208540617567075,0,-1
6,0,0.4757630242167459,1.404699553012312,1.5923720031886033,6,1,0.0,0.0,0.021166689643337684,0,-1
7,0,0.4565106654562824,1.3971099048393336,1.6049006328866495,13,0,0.02419137530902196,0.02419137530902196,0.026820898163487133,0,-1
8,0,0.4565106654562824,1.3971099048393336,1.6049006328866495,35,1,0.0,0.0,0.02631467922500059,0,-1
9,1,0.5040622205268449,1.3557889201266258,1.5309238254077984,38,0,0.09716554024971809,0.09716554024971809,0.04350619707596735,1,1
10,1,0.5040622205268449,1.3557889201266258,1.5309238254077984,54,1,0.0,0.0,0.03379881738373001,0,-1
11,0,0.4552011166833983,1.3774044273120905,1.5355926384931124,40,0,0.05363241030674035,0.05363241030674035,0.025212869965304148,0,-1
12,0,0.4552011166833983,1.3774044273120905,1.5355926384931124,26,1,0.0,0.0,0.04949208425028653,0,-1
13,0,0.4413049512915158,1.3601350693304233,1.605476395688765,23,0,0.07331489383118851,0.07331489383118851,0.0812211283806186,0,-1
14,0,0.4823366379182574,1.3217693855604489,1.4358362157572315,5,0,0.17869895255925775,0.17869895255925775,0.07497335225170595,0,-1
15,0,0.4854507683865798,1.2939509298472531,1.4202110528632863,24,0,0.03205791637494691,0.03205791637494691,0.1162711811781643,1,2
16,0,0.4644856528117128,1.3572767240121668,1.435396421072154,58,0,0.06841262811296929,0.06841262811296929,0.10925676275043639,0,-1
17,0,0.3432817761027153,1.3726982303112265,1.5979243655769255,21,0,0.20333109779560998,0.20333109779560998,0.09330113290741565,0,-1
18,0,0.309981122314576,1.3438953445345674,1.5796803586701729,23,0,0.04765903439846878,0.04765903439846878,0.09938872536130378,0,-1
19,0,0.269733091271693,1.3913583586364708,1.5971543750826211,54,0,0.06463731863288322,0.06463731863288322,0.06448198543942117,0,-1
20,0,0.2282609989845368,1.3951859046991462,1.576349059545991,55,0,0.046555834243572985,0.046555834243572985,0.054075876654417286,0,-1
21,0,0.2522830589771972,1.3655908769395193,1.5206112383121606,27,0,0.06752503054629815,0.06752503054629815,0.09913520193863173,0,-1
22,0,0.0891122830981322,1.381560992247837,1.5643556209912917,5,0,0.16968593842718757,0.16968593842718757,0.11202859041349916,0,-1
23,0,0.0391331622583679,1.4139617434684817,1.6619354694616624,41,0,0.11432212396154291,0.11432212396154291,0.1143273799873672,1,3
24,0,0.0636093692997874,1.4044040332116967,1.6025669782066372,24,0,0.06492343406186313,0.06492343406186313,0.09224889579512749,0,-1
25,0,0.0131040148391443,1.4181142397128623,1.5628072589195774,6,0,0.06572363250221035,0.06572363250221035,0.056682924511305896,0,-1
26,0,0.0132835382612107,1.371813419071526,1.529846005671302,5,0,0.0568352217943874,0.0568352217943874,0.053799642180105314,0,-1
27,0,-0.0460245658090588,1.333551013511591,1.5220149513157029,6,0,0.07101259254500718,0.07101259254500718,0.08470774987220958,0,-1
28,0,-0.0114821995059477,1.2700581351007725,1.4411584527508012,16,0,0.10845411029041381,0.10845411029041381,0.1261403329660003,0,-1
29,0,-0.1198732981765676,1.393803009930105,1.5361897028928957,51,0,0.18997990109777554,0.18997990109777554,0.1628562842226452,1,4
31,0,-0.2536437965636928,1.3896572916987109,1.6467771739649817,37,0,0.17361256284184456,0.17361256284184456,0.1549926744569718,0,-1
