trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Afi_Jalan33_clustered_torso,1,21,30,9.0,frames,0.08612852014370827,
Afi_Jalan33_clustered_torso,2,30,35,5.0,frames,0.21686419698699166,
Afi_Jalan33_clustered_torso,3,35,41,6.0,frames,0.18530342263666327,
Afi_Jalan33_clustered_torso,4,41,46,5.0,frames,0.18120157965071254,
Afi_Jalan33_clustered_torso,5,46,53,7.0,frames,0.2969999485756886,
Afi_Jalan33_clustered_torso,6,53,59,6.0,frames,0.27737686084564694,
Afi_Jalan33_clustered_torso,7,59,64,5.0,frames,0.3904809567581298,
Afi_Jalan33_clustered_torso,8,64,71,7.0,frames,0.2639545567942465,
Afi_Jalan33_clustered_torso,9,71,77,6.0,frames,0.27983543634507163,
Afi_Jalan33_clustered_torso,10,77,88,11.0,frames,0.3954925876072948,
Afi_Jalan33_clustered_torso,11,88,94,6.0,frames,0.3167517702572077,
Afi_Jalan33_clustered_torso,12,94,99,5.0,frames,0.2912731828461575,
