trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Afi_Jalan60_clustered_torso,1,6,11,5.0,frames,0.10261945463037286,
Afi_Jalan60_clustered_torso,2,11,17,6.0,frames,0.26612453577875367,
Afi_Jalan60_clustered_torso,3,17,25,8.0,frames,0.1710859496303991,
Afi_Jalan60_clustered_torso,4,25,36,11.0,frames,0.39220647079277043,
Afi_Jalan60_clustered_torso,5,36,42,6.0,frames,0.23828546389684446,
Afi_Jalan60_clustered_torso,6,42,47,5.0,frames,0.2970715864633662,
Afi_Jalan60_clustered_torso,7,47,59,12.0,frames,0.5870213868477724,
Afi_Jalan60_clustered_torso,8,59,69,10.0,frames,0.5075896413844736,
Afi_Jalan60_clustered_torso,9,69,77,8.0,frames,0.249740670729084,
Afi_Jalan60_clustered_torso,10,77,85,8.0,frames,0.24623185613342652,
Afi_Jalan60_clustered_torso,11,85,91,6.0,frames,0.32342381429341205,
Afi_Jalan60_clustered_torso,12,91,96,5.0,frames,0.34442068641979046,
Afi_Jalan60_clustered_torso,13,96,107,11.0,frames,0.3910735930113501,
Afi_Jalan60_clustered_torso,14,107,113,6.0,frames,0.18479645067887102,
