trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Afi_Jalan54_clustered_torso,1,9,15,6.0,frames,0.12817036005666063,
Afi_Jalan54_clustered_torso,2,15,23,8.0,frames,0.52156753590103,
Afi_Jalan54_clustered_torso,3,23,29,6.0,frames,0.20371898980675496,
Afi_Jalan54_clustered_torso,4,29,42,13.0,frames,0.4957644065441172,
Afi_Jalan54_clustered_torso,5,42,51,9.0,frames,0.3491895058803606,
Afi_Jalan54_clustered_torso,6,51,63,12.0,frames,0.25911639004281445,
Afi_Jalan54_clustered_torso,7,63,70,7.0,frames,0.17333087642757408,
Afi_Jalan54_clustered_torso,8,70,80,10.0,frames,0.2808508004007952,
Afi_Jalan54_clustered_torso,9,80,86,6.0,frames,0.4376400594314646,
Afi_Jalan54_clustered_torso,10,86,98,12.0,frames,0.3908486302788309,
Afi_Jalan54_clustered_torso,11,98,107,9.0,frames,0.18620029768229576,
Afi_Jalan54_clustered_torso,12,107,112,5.0,frames,0.2737086144726097,
Afi_Jalan54_clustered_torso,13,112,119,7.0,frames,0.15050216133969616,
Afi_Jalan54_clustered_torso,14,119,125,6.0,frames,0.048184977799978816,
Afi_Jalan54_clustered_torso,15,125,135,10.0,frames,0.04982082608542641,
