trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Afi_Jalan39_clustered_torso,1,52,58,6.0,frames,0.4223839795026403,
Afi_Jalan39_clustered_torso,2,58,64,6.0,frames,0.45372445598860045,
Afi_Jalan39_clustered_torso,3,64,69,5.0,frames,0.154039215361329,
Afi_Jalan39_clustered_torso,4,69,79,10.0,frames,0.4761439150776825,
Afi_Jalan39_clustered_torso,5,79,84,5.0,frames,0.2802221075450964,
Afi_Jalan39_clustered_torso,6,84,90,6.0,frames,0.4123902555714535,
Afi_Jalan39_clustered_torso,7,90,97,7.0,frames,0.3512010152520047,
Afi_Jalan39_clustered_torso,8,97,104,7.0,frames,0.2273096750718052,
Afi_Jalan39_clustered_torso,9,104,112,8.0,frames,0.27143727910052745,
Afi_Jalan39_clustered_torso,10,112,118,6.0,frames,0.19485404668418965,
Afi_Jalan39_clustered_torso,11,118,127,9.0,frames,0.27448793058370163,
Afi_Jalan39_clustered_torso,12,127,137,10.0,frames,0.2288716641501434,
Afi_Jalan39_clustered_torso,13,137,142,5.0,frames,0.36142549342090413,
