subject,trial,trial_id,step_count,duration_walk_sec,mean_step_time,step_time_std,cadence_spm,distance_2d_m,walking_speed_ms,step_length_m,trial_num
Afi,Afi_Jalan1,Jalan1,3,0.7148159999997006,0.3574079999998503,0.040570958670107786,251.81305398882427,1.1804834350772042,1.651450772055604,0.5902417175386021,1.0
Afi,Afi_Jalan2,Jalan2,6,2.083814000005077,0.4167628000010154,0.25336774684448177,172.76014077989825,0.7326010509505032,0.3515673908269732,0.14652021019010064,2.0
Afi,Afi_Jalan3,Jalan3,5,1.5973630000007688,0.3993407500001922,0.05202168869647701,187.8095335874536,3.0818162337170407,1.9293148981888009,0.7704540584292602,3.0
Afi,Afi_Jalan4,Jalan4,2,0.39192999999795575,0.39192999999795575,0.0,306.177123467522,4.584173262397556,11.696408191313415,4.584173262397556,4.0
Afi,Afi_Jalan5,Jalan5,5,1.9710740000009537,0.4927685000002384,0.2938349222575894,152.20128721694613,2.4929025918966925,1.2647432779771264,0.6232256479741731,5.0
Afi,Afi_Jalan6,Jalan6,4,1.1523310000047786,0.3841103333349262,0.1466578764313543,208.2734908624386,3.92892997927201,3.4095498422377917,1.3096433264240033,6.0
Afi,Afi_Jalan7,Jalan7,7,2.924983999997494,0.4874973333329156,0.4434709623716393,143.59052904233317,2.5485898285909276,0.871317528093525,0.4247649714318213,7.0
Afi,Afi_Jalan8,Jalan8,5,1.221944999997504,0.305486249999376,0.035183489843192084,245.51023163940502,1.6333870153248171,1.3367107482973075,0.4083467538312043,8.0
Afi,Afi_Jalan9,Jalan9,5,3.1344820000012987,0.7836205000003247,0.95240902260722,95.70959412109424,0.7815607508073008,0.24934287413581477,0.1953901877018252,9.0
Afi,Afi_Jalan10,Jalan10,6,1.7088139999978011,0.3417627999995602,0.0604614146122799,210.67243128887242,1.5870763939886001,0.9287590071187632,0.31741527879772,10.0
Afi,Afi_Jalan11,Jalan11,6,2.574859000000288,0.5149718000000576,0.3452927539917811,139.81348104884958,2.669618106774798,1.036801668275622,0.5339236213549596,11.0
Afi,Afi_Jalan12,Jalan12,7,2.9276190000018687,0.48793650000031147,0.49122636521356877,143.46129055718382,2.8605398866341685,0.9770874853019954,0.47675664777236143,12.0
Afi,Afi_Jalan13,Jalan13,4,1.8787809999994352,0.626260333333145,0.5594674778119945,127.74240318593394,2.696252825748608,1.4351075648249683,0.8987509419162026,13.0
Afi,Afi_Jalan14,Jalan14,2,3.849878000000899,3.849878000000899,0.0,31.169818887760073,2.1408205299160787,0.556074901572356,2.1408205299160787,14.0
Afi,Afi_Jalan15,Jalan15,7,4.349803000004613,0.7249671666674354,0.5404112595266765,96.55609690819438,3.2438217967114116,0.7457399327528101,0.5406369661185686,15.0
Afi,Afi_Jalan16,Jalan16,7,4.186100999999326,0.6976834999998877,0.5698849551266247,100.33202734479356,3.0170525866093847,0.7207309586199355,0.5028420977682307,16.0
Afi,Afi_Jalan17,Jalan17,4,3.2443220000059227,1.081440666668641,1.3538299057634973,73.9753945507141,3.363348408792411,1.036687606466396,1.1211161362641369,17.0
Afi,Afi_Jalan18,Jalan18,7,4.570493999999599,0.7617489999999331,0.5428484493824037,91.89378653599302,3.0235916106634333,0.661545909624583,0.5039319351105722,18.0
Afi,Afi_Jalan19,Jalan19,5,3.581123000003572,0.895280750000893,0.719166942670051,83.77260429192205,2.8418027174002263,0.7935507150682598,0.7104506793500566,19.0
Afi,Afi_Jalan20,Jalan20,4,1.0318180000031134,0.34393933333437116,0.0285317418063099,232.59915992866553,1.2784684751139481,1.2390445554449432,0.42615615837131604,20.0
Afi,Afi_Jalan21,Jalan21,6,4.846661999996286,0.9693323999992571,0.658497235192188,74.27792571470341,0.8713505046244701,0.17978363348323811,0.174270100924894,21.0
Afi,Afi_Jalan22,Jalan22,3,0.9882989999969141,0.49414949999845703,0.3108901029438655,182.13111619111427,2.6637423847586144,2.6952798543425946,1.3318711923793072,22.0
Afi,Afi_Jalan23,Jalan23,4,1.487660999999207,0.4958869999997357,0.15135873311608883,161.3270765316345,0.9032378805757925,0.6071530278580093,0.30107929352526414,23.0
Afi,Afi_Jalan24,Jalan24,3,1.1575809999994817,0.5787904999997409,0.1159874324249874,155.49667798631853,1.3386538922521214,1.1564235178814448,0.6693269461260607,24.0
Afi,Afi_Jalan25,Jalan25,5,1.2690180000063265,0.3172545000015816,0.05850748405524855,236.40326614634654,1.8800631380834474,1.481510221347589,0.47001578452086185,25.0
Afi,Afi_Jalan26,Jalan26,4,0.8329440000015893,0.27764800000052975,0.0022428769514712217,288.13461649227565,1.0359258135787346,1.2436920292081557,0.34530860452624484,26.0
Afi,Afi_Jalan27,Jalan27,6,3.857661999994889,0.7715323999989778,0.7334652095404309,93.32077304866962,2.278711360391059,0.5906975158513312,0.45574227207821183,27.0
Afi,Afi_Jalan28,Jalan28,6,5.656866999997874,1.1313733999995748,1.1078364077697986,63.63946686392579,0.6482915022866369,0.11460257104981973,0.12965830045732737,28.0
Afi,Afi_Jalan29,Jalan29,8,3.1264640000008512,0.4466377142858359,0.4008979936827887,153.5280751673038,0.17222411879532976,0.05508591136673343,0.024603445542189965,29.0
Afi,Afi_Jalan30,Jalan30,10,5.558940000002622,0.6176600000002913,0.9496422892613726,107.93424645700746,3.4847346863876045,0.6268703541297371,0.38719274293195605,30.0
Afi,Afi_Jalan31,Jalan31,6,3.8025009999983013,0.7605001999996602,0.997455406689566,94.67453131508995,2.6982603588516563,0.709601485667686,0.5396520717703313,31.0
