frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
38,0,-1.6282919701338932,0.9217595310703841,1.1824943772221794,51,0,0.03832597425226214,0.010243862253099367,0.043417045899441176,0.058812047157701594,0,1,1,1
39,0,-1.6414081103866855,0.9673884043069739,1.2348114150795266,63,0,-0.013116140252792396,0.04562887323658982,0.052317037857347204,0.07064771516573487,0,1,1,1
40,0,-1.6414081103866855,0.9673884043069739,1.2348114150795266,59,1,0.0,0.0,0.0,0.0,0,1,1,1
41,1,-1.512830661082306,1.025382927055148,1.2737735056309039,69,0,0.12857744930437964,0.05799452274817407,0.038962090551377226,0.14633376110297486,0,1,1,1
42,1,-1.5558288745020246,0.9324283883824764,1.1978250856307653,64,0,-0.042998213419718656,-0.09295453867267156,-0.07594842000013857,0.1275051180057268,0,1,1,1
43,0,-1.4512982660998943,1.0802600167391216,1.3295008925758398,56,0,0.10453060840213024,0.1478316283566452,0.13167580694507452,0.22387352806916075,0,1,1,1
44,0,-1.4512982660998943,1.0802600167391216,1.3295008925758398,46,1,0.0,0.0,0.0,0.0,0,1,1,1
45,0,-1.4512982660998943,1.0802600167391216,1.3295008925758398,5,1,0.0,0.0,0.0,0.0,0,1,1,1
46,0,-1.2677526629678253,1.0422870162175508,1.473768565968384,32,0,0.18354560313206902,-0.03797300052157082,0.1442676733925441,0.23652504895639273,0,1,1,1
47,0,-1.2449520533049836,1.134295756504186,1.2671224579513183,48,0,0.022800609662841698,0.0920087402866352,-0.20664610801706562,0.2273501485566515,0,1,1,1
48,0,-1.2719750586753704,0.9593321995707711,1.453738358047555,32,0,-0.02702300537038682,-0.17496355693341492,0.18661590009623663,0.2572313807504225,0,1,1,1
49,0,-1.2719750586753704,0.9593321995707711,1.453738358047555,11,1,0.0,0.0,0.0,0.0,0,1,1,1
50,0,-1.2719750586753704,0.9593321995707711,1.453738358047555,11,1,0.0,0.0,0.0,0.0,0,1,1,1
51,1,-0.9025392627348444,1.1288281819617882,1.502857955113653,11,0,0.369435795940526,0.16949598239101715,0.04911959706609803,0.40941962603768983,0,1,1,1
52,1,-0.8560946083662456,1.1689234512935065,1.484501110699462,54,0,0.04644465436859879,0.04009526933171825,-0.018356844414191054,0.06404459601752865,0,1,1,1
