subject,trial,trial_id,step_count,duration_walk_sec,mean_step_time,step_time_std,cadence_spm,distance_2d_m,walking_speed_ms,step_length_m
Miftah,Miftah_Jalan10,Jalan10,3,0.7156610000092769,0.35783050000463845,0.03810951997527255,251.51573160709708,2.1588000449725966,3.0165120705817596,1.0794000224862983
Miftah,Miftah_Jalan11,Jalan11,6,2.1343419999902835,0.4268683999980567,0.3398479982174227,168.6702505979074,3.0124877327625166,1.41143628002271,0.6024975465525033
Miftah,Miftah_Jalan12,Jalan12,6,1.7046279999922263,0.34092559999844524,0.04599455394413516,211.18977278423313,4.888746109250214,2.867925500034323,0.9777492218500428
Miftah,Miftah_Jalan13,Jalan13,5,4.994301000013365,1.2485752500033414,0.6839284145444823,60.06846603742889,3.606077007821526,0.7220383809089351,0.9015192519553815
Miftah,Miftah_Jalan14,Jalan14,4,2.4718770000035875,0.8239590000011958,0.5024481507132756,97.09220968504974,3.427477111199709,1.3865888598804612,1.142492370399903
Miftah,Miftah_Jalan15,Jalan15,8,4.7900099999969825,0.6842871428567118,0.4286970015476323,100.20855906361415,3.0642995542303204,0.6397271726431157,0.43775707917576007
Miftah,Miftah_Jalan16,Jalan16,8,4.8249179999984335,0.6892739999997762,0.5617520220715806,99.48355598999939,3.3321465837552293,0.6906120650664552,0.4760209405364613
Miftah,Miftah_Jalan17,Jalan17,6,2.644922999999835,0.528984599999967,0.5092529961467535,136.10982247877251,3.1192551594769955,1.1793368500622474,0.6238510318953991
Miftah,Miftah_Jalan18,Jalan18,9,5.88305199999013,0.7353814999987662,0.5844967995467018,91.78909178448635,3.628932305529954,0.6168451860592159,0.45361653819124426
Miftah,Miftah_Jalan19,Jalan19,5,4.396554999999353,1.0991387499998382,0.9399626833824414,68.23524327571113,3.149051940493945,0.7162544174915152,0.7872629851234862
Miftah,Miftah_Jalan1,Jalan1,8,3.4164529999980005,0.48806471428542864,0.35882097035279137,140.49659105519115,2.779570727106882,0.8135837744902414,0.39708153244384026
Miftah,Miftah_Jalan20,Jalan20,6,2.5858229999867035,0.5171645999973407,0.47807225449821666,139.2206659163644,2.9548079687729105,1.1426953696320685,0.5909615937545821
Miftah,Miftah_Jalan21,Jalan21,6,4.348731999998563,0.8697463999997126,0.6619898921998798,82.78275138594859,2.8455508571786923,0.6543403587941572,0.5691101714357385
Miftah,Miftah_Jalan22,Jalan22,6,2.752304000008735,0.550460800001747,0.46552291065326407,130.7995047054604,2.398705953704517,0.8715265296627495,0.4797411907409034
Miftah,Miftah_Jalan23,Jalan23,7,3.8871020000078715,0.6478503333346453,0.481832264458324,108.04964726913508,5.226615646977424,1.3446047073029832,0.8711026078295707
Miftah,Miftah_Jalan24,Jalan24,6,3.2672289999900386,0.6534457999980077,0.5108424415325629,110.18511405264142,2.609683187020846,0.7987451100087575,0.5219366374041692
Miftah,Miftah_Jalan25,Jalan25,5,1.2185040000040317,0.3046260000010079,0.03417719916619774,246.20354139092476,1.031446127284863,0.846485630971626,0.25786153182121574
Miftah,Miftah_Jalan26,Jalan26,1,,,,,,,
Miftah,Miftah_Jalan27,Jalan27,7,1.655293999996502,0.2758823333327503,0.0055458107332825605,253.73136131761945,1.1399504997524925,0.6886695050878584,0.18999174995874876
Miftah,Miftah_Jalan28,Jalan28,6,2.58572699999786,0.517145399999572,0.26847200900509793,139.2258347460107,2.9718451258907628,1.1493267177444573,0.5943690251781526
Miftah,Miftah_Jalan29,Jalan29,7,4.401594999988447,0.7335991666647411,0.6565111085262513,95.41995572084718,3.4988514372705732,0.7949053552813825,0.5831419062117622
Miftah,Miftah_Jalan2,Jalan2,3,0.8236219999962486,0.4118109999981243,0.03831528804108451,218.54685766142703,2.0125472433163147,2.4435326440108223,1.0062736216581574
Miftah,Miftah_Jalan30,Jalan30,7,5.613746999995783,0.9356244999992972,0.9388341236082868,74.81633924726488,2.7022263934005473,0.48135877755135337,0.4503710655667579
Miftah,Miftah_Jalan31,Jalan31,5,1.6493309999932535,0.4123327499983134,0.027664665914891234,181.8919307290211,1.4538547955407592,0.8814815192018498,0.3634636988851898
Miftah,Miftah_Jalan32,Jalan32,6,3.0249710000061896,0.6049942000012379,0.736767304776636,119.00940537917997,2.581131962312433,0.8532749445555516,0.5162263924624866
Miftah,Miftah_Jalan33,Jalan33,6,4.080608999996912,0.8161217999993824,0.6967136829048596,88.22212566807367,3.477449014972433,0.8521887333422695,0.6954898029944866
Miftah,Miftah_Jalan34,Jalan34,7,2.305676999996649,0.3842794999994415,0.14623156013460173,182.1590795244132,1.7116341433798132,0.7423564286681529,0.28527235722996885
Miftah,Miftah_Jalan35,Jalan35,7,3.3621579999889946,0.5603596666648324,0.6180724782218822,124.91976879176255,2.544145737814178,0.7567002317626078,0.4240242896356963
Miftah,Miftah_Jalan36,Jalan36,8,3.696479999998701,0.5280685714283858,0.6216928137648521,129.85326580968075,0.8609283934341793,0.23290492399106227,0.12298977049059703
Miftah,Miftah_Jalan37,Jalan37,11,4.730274000001373,0.47302740000013727,0.42173599386573213,139.52680119583104,0.7769393758503986,0.1642482815689267,0.07769393758503987
Miftah,Miftah_Jalan38,Jalan38,6,2.481140999996569,0.4962281999993138,0.472057485878814,145.09453513544688,0.7280891961238308,0.29344934291313457,0.14561783922476618
Miftah,Miftah_Jalan39,Jalan39,8,4.027860999995028,0.575408714285004,0.44222958342138124,119.16995149549415,1.4599798588368291,0.36247026867079857,0.20856855126240417
