trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Kinan_Jalan64_clustered_torso,1,4,11,7.0,frames,0.07909232711550834,
Kinan_Jalan64_clustered_torso,2,11,25,14.0,frames,0.23186257176952524,
Kinan_Jalan64_clustered_torso,3,25,36,11.0,frames,0.3042954348841738,
Kinan_Jalan64_clustered_torso,4,36,42,6.0,frames,0.3472071536190603,
Kinan_Jalan64_clustered_torso,5,42,47,5.0,frames,0.18596170095499914,
Kinan_Jalan64_clustered_torso,6,47,56,9.0,frames,0.2985215254923811,
Kinan_Jalan64_clustered_torso,7,56,68,12.0,frames,0.4071482107989189,
Kinan_Jalan64_clustered_torso,8,68,74,6.0,frames,0.344176017627729,
Kinan_Jalan64_clustered_torso,9,74,82,8.0,frames,0.4431065795158011,
Kinan_Jalan64_clustered_torso,10,82,90,8.0,frames,0.3286349865297292,
Kinan_Jalan64_clustered_torso,11,90,100,10.0,frames,0.34797381432276714,
Kinan_Jalan64_clustered_torso,12,100,107,7.0,frames,0.22326776608314522,
Kinan_Jalan64_clustered_torso,13,107,113,6.0,frames,0.25695167964069526,
Kinan_Jalan64_clustered_torso,14,113,118,5.0,frames,0.2916039775605089,
Kinan_Jalan64_clustered_torso,15,118,130,12.0,frames,0.18768303064912528,
Kinan_Jalan64_clustered_torso,16,130,139,9.0,frames,0.19063494436452735,
