trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Kinan_Jalan2_clustered_torso,1,9,16,7.0,frames,0.15657436780111136,
Kinan_Jalan2_clustered_torso,2,16,25,9.0,frames,0.17695564827049026,
Kinan_Jalan2_clustered_torso,3,25,35,10.0,frames,0.40571063820019476,
Kinan_Jalan2_clustered_torso,4,35,41,6.0,frames,0.262695743853899,
Kinan_Jalan2_clustered_torso,5,41,49,8.0,frames,0.31474771713174204,
Kinan_Jalan2_clustered_torso,6,49,55,6.0,frames,0.5005595085236384,
Kinan_Jalan2_clustered_torso,7,55,62,7.0,frames,0.47829485631722474,
