trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Kinan_Jalan18_clustered_torso,1,6,14,8.0,frames,0.06624930377424684,
Kinan_Jalan18_clustered_torso,2,14,21,7.0,frames,0.19726947751608934,
Kinan_Jalan18_clustered_torso,3,21,26,5.0,frames,0.14240632975683054,
Kinan_Jalan18_clustered_torso,4,26,33,7.0,frames,0.34631060048446893,
Kinan_Jalan18_clustered_torso,5,33,46,13.0,frames,0.1703951248412164,
Kinan_Jalan18_clustered_torso,6,46,54,8.0,frames,0.42843157598522175,
Kinan_Jalan18_clustered_torso,7,54,60,6.0,frames,0.3757735568865565,
Kinan_Jalan18_clustered_torso,8,60,74,14.0,frames,0.700136954732337,
Kinan_Jalan18_clustered_torso,9,74,87,13.0,frames,0.819991980957788,
Kinan_Jalan18_clustered_torso,10,87,94,7.0,frames,0.29705718678819865,
