trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Kinan_Jalan36_clustered_torso,1,5,11,6.0,frames,0.14606671736058394,
Kinan_Jalan36_clustered_torso,2,11,17,6.0,frames,0.320829646485906,
Kinan_Jalan36_clustered_torso,3,17,23,6.0,frames,0.38134194779146896,
Kinan_Jalan36_clustered_torso,4,23,28,5.0,frames,0.5115542571435572,
Kinan_Jalan36_clustered_torso,5,28,34,6.0,frames,0.4118194349258713,
Kinan_Jalan36_clustered_torso,6,34,43,9.0,frames,0.42818820361322124,
Kinan_Jalan36_clustered_torso,7,43,50,7.0,frames,0.09483696803542391,
Kinan_Jalan36_clustered_torso,8,50,55,5.0,frames,0.43287163763845987,
Kinan_Jalan36_clustered_torso,9,55,63,8.0,frames,0.3800343933585573,
Kinan_Jalan36_clustered_torso,10,63,68,5.0,frames,0.1249064078953692,
Kinan_Jalan36_clustered_torso,11,68,75,7.0,frames,0.2764969468791491,
Kinan_Jalan36_clustered_torso,12,75,80,5.0,frames,0.12025869401567199,
