frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,-1,,,,0,0
2,-1,,,,0,0
3,-1,,,,0,0
4,-1,,,,0,0
5,-1,,,,0,0
6,-1,,,,0,0
7,-1,,,,0,0
8,-1,,,,0,0
9,-1,,,,0,0
10,-1,,,,0,0
11,-1,,,,0,0
12,-1,,,,0,0
13,-1,,,,0,0
14,-1,,,,0,0
15,-1,,,,0,0
16,-1,,,,0,0
17,-1,,,,0,0
18,-1,,,,0,0
19,-1,,,,0,0
20,-1,,,,0,0
21,-1,,,,0,0
22,-1,,,,0,0
23,-1,,,,0,0
24,-1,,,,0,0
25,-1,,,,0,0
26,-1,,,,0,0
27,-1,,,,0,0
28,-1,,,,0,0
29,-1,,,,0,0
30,-1,,,,0,0
31,-1,,,,0,0
32,-1,,,,0,0
33,-1,,,,0,0
34,-1,,,,0,0
35,-1,,,,0,0
36,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,5,0
37,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,14,1
38,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,25,1
39,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,11,1
40,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,42,1
41,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,42,1
42,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,36,1
43,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,56,1
44,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,49,1
45,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,57,1
46,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,52,1
47,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,53,1
48,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,49,1
49,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,52,1
50,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,13,1
51,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,38,1
52,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,35,1
53,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,53,1
54,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,33,1
55,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,44,1
56,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,51,1
57,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,61,1
58,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,68,1
59,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,68,1
60,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,58,1
61,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,26,1
62,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,32,1
63,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,74,1
64,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,104,1
65,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,50,1
66,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,59,1
67,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,29,1
68,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,33,1
69,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,12,1
70,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,107,1
71,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,44,1
72,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,26,1
73,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,73,1
74,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,22,1
75,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,63,1
76,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,64,1
77,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,66,1
78,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,13,1
79,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,11,1
80,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,5,1
81,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,14,1
82,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,21,1
83,0,1.1177229768281622,0.38830771497115996,-0.4073937204400484,8,1
84,-1,,,,0,0
