trial,step_count,duration_sec,n_valid_intervals,mean_step_time,std_step_time,min_step_time_used,max_step_time_used,cadence_spm
Afi_Jalan10,6,4.465574999994715,3,0.3859046666645251,0.0020216867549843467,0.38362799999595154,0.38748999999370426,80.61671789196824
Afi_Jalan11,6,4.5219469999938156,3,0.6745813333327533,0.3780249311197928,0.3337390000015148,1.0811649999959627,79.61172477264601
Afi_Jalan12,7,6.15235599999869,2,0.9066149999998743,0.8250055232398741,0.3232480000006035,1.489981999999145,68.26653074043332
Afi_Jalan13,4,3.348574000003282,2,0.8027439999968919,0.6626679484207348,0.334166999993613,1.271321000000171,71.67229991027965
Afi_Jalan14,2,4.4026470000026166,0,,,,,
Afi_Jalan15,7,6.050406999995175,4,0.9484472500007541,0.5356694912530956,0.4340729999967152,1.4863279999990482,69.41681774471286
Afi_Jalan16,7,4.988638000002538,5,0.7814833999989788,0.5943844743099043,0.3303089999972144,1.4875430000029155,84.1913163472247
Afi_Jalan17,4,3.753932999999961,1,0.32828600000357255,0.0,0.32828600000357255,0.32828600000357255,63.93294712505591
Afi_Jalan18,7,6.3289589999985765,3,0.7705676666640405,0.23728874095607458,0.605851000000257,1.0425499999983003,66.36162439985698
Afi_Jalan19,5,5.056748000002699,2,0.7713675000013609,0.6236660596839092,0.33036900000297464,1.2123659999997471,59.3266660707316
Afi_Jalan1,3,4.629419000004418,2,0.3574079999998503,0.040570958670107786,0.3287200000049779,0.38609599999472266,38.88176896492372
Afi_Jalan20,4,3.349967000001925,3,0.34393933333437116,0.0285317418063099,0.3271569999997155,0.3768830000044545,71.64249677679275
Afi_Jalan21,6,6.292154999995546,3,0.9230169999985568,0.5159217146272614,0.33026799999788636,1.2709830000021611,57.214102322694664
Afi_Jalan22,3,4.537368999997852,1,0.7139819999938481,0.0,0.7139819999938481,0.7139819999938481,39.67056679764974
Afi_Jalan23,4,3.3173339999993914,3,0.4958869999997357,0.15135873311608883,0.3270760000013979,0.6194919999979902,72.3472523418034
Afi_Jalan24,3,6.179868999999599,2,0.5787904999997409,0.1159874324249874,0.49677499999961583,0.6608059999998659,29.12683100564295
Afi_Jalan25,5,3.861113999999361,2,0.36207849999846076,0.04688612933567115,0.3289250000016182,0.39523199999530334,77.69778359303808
Afi_Jalan26,4,3.564256999998179,0,,,,,
Afi_Jalan27,6,5.695827999996254,2,0.6594424999966577,0.3883791066711799,0.3848169999982929,0.9340679999950225,63.20415574350854
Afi_Jalan28,6,6.0615289999987,1,0.6527659999992466,0.0,0.6527659999992466,0.6527659999992466,59.39095564833183
Afi_Jalan29,8,4.987200000003213,3,0.6705419999998412,0.5919759969562408,0.3287149999960093,1.3540970000030939,96.24639076028448
Afi_Jalan2,6,4.563986000001023,3,0.5112406666667084,0.3080474875432785,0.3325680000052671,0.866941999993287,78.87841899600903
Afi_Jalan30,10,8.132778999999573,3,0.33842800000032486,0.03761807702413984,0.3035149999996065,0.3782659999997122,73.77552002827466
Afi_Jalan31,6,5.579580999998143,1,0.44609099999797763,0.0,0.44609099999797763,0.44609099999797763,64.52097388677032
Afi_Jalan32,7,4.871737000001303,3,0.7109613333353385,0.4435532817881396,0.33171500000025844,1.1986930000057328,86.21155041823637
Afi_Jalan33,7,6.493582999995851,3,0.3277773333296257,0.003815904784371959,0.3240779999978258,0.3316999999951804,64.6792379492598
Afi_Jalan34,4,4.904581999995571,3,0.404270666668405,0.1273926272209454,0.33069999999861466,0.5513710000013816,48.93383370901266
Afi_Jalan35,2,3.7300370000011753,1,0.33138400000461843,0.0,0.33138400000461843,0.33138400000461843,32.171262644301436
Afi_Jalan36,4,6.693051000002015,2,0.4129030000003695,0.11728355915637287,0.32997099999920465,0.49583500000153435,35.85808624496179
