frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap
1,17:25:42.785367,62742.785367,,,,,1
2,17:25:42.839862,62742.839862,,,,,1
3,17:25:42.895395,62742.895395,,,,,1
4,17:25:42.948811,62742.948811,-0.1407466714639718,1.6540301826243282,2.7744651154011826,-2.7832000743364915,0
5,17:25:43.003899,62743.003899,-0.1407466714639718,1.6540301826243282,2.7744651154011826,-1.7396400464640465,0
6,17:25:43.060298,62743.060298,-0.1407466714639718,1.6540301826243282,2.7744651154011826,,0
7,17:25:43.113670,62743.11367,1.4319563608797965,3.1782920058190216,0.9950293633653294,0.7653800204425352,0
8,17:25:43.168873,62743.168873,1.4319563608797965,3.1782920058190216,0.9950293633653294,,0
9,17:25:43.224525,62743.224525,1.4319563608797965,3.1782920058190216,0.9950293633653294,,0
10,17:25:43.279130,62743.27913,,,,,1
11,17:25:43.335049,62743.335049,0.5283030450765166,1.563585851872337,1.462965788900904,-0.0697200018621515,0
12,17:25:43.389622,62743.389622,0.5283030450765166,1.563585851872337,1.462965788900904,-0.0697200018621515,0
13,17:25:43.444738,62743.444738,0.5283030450765166,1.563585851872337,1.462965788900904,,0
14,17:25:43.500650,62743.50065,,,,,1
15,17:25:43.553773,62743.553773,-1.4313853211073362,1.8999094430438392,1.349349715617736,-2.7137600724818185,0
16,17:25:43.609634,62743.609634,-1.4313853211073362,1.8999094430438392,1.349349715617736,,0
17,17:25:43.664858,62743.664858,-1.4313853211073362,1.8999094430438392,1.349349715617736,,0
18,17:25:43.719785,62743.719785,0.5375345155411142,1.5210702531816125,1.452976638596829,-0.0697200018621515,0
19,17:25:43.775419,62743.775419,0.553867644030409,1.5903057936890723,1.3723620186990395,-0.0697200018621515,0
20,17:25:43.831069,62743.831069,0.5960710407340716,1.5591744473537914,1.416833310947426,-0.0697200018621515,0
21,17:25:43.887543,62743.887543,0.6087742818153549,1.5819328194355171,1.3470574777349569,-0.0697200018621515,0
22,17:25:43.942981,62743.942981,0.5845546771230752,1.5591578093286145,1.3573474029433068,0.0697200018621515,0
23,17:25:44.004179,62744.004179,0.6365425932773491,1.5488133510281423,1.432774568989366,0.0697200018621515,0
24,17:25:44.060259,62744.060259,0.5856193758264703,1.543059622362557,1.4530519891065283,-0.0697200018621515,0
25,17:25:44.112395,62744.112395,0.57013031934364,1.511487734954803,1.484548649402523,-0.0697200018621515,0
26,17:25:44.171722,62744.171722,0.590098388188856,1.5319695968291993,1.437038086588,-0.0697200018621515,0
27,17:25:44.228949,62744.228949,0.5716552728593721,1.522476648617991,1.478516928973208,-0.1391600037168245,0
28,17:25:44.282123,62744.282123,0.5818050749546383,1.5071776648915969,1.4233775308055905,-0.1391600037168245,0
29,17:25:44.338328,62744.338328,0.5857392680486694,1.5169227959479938,1.401030512195425,-0.1391600037168245,0
30,17:25:44.391707,62744.391707,0.6283746455388116,1.534558449258809,1.2369560049217312,-0.1391600037168245,0
31,17:25:44.446520,62744.44652,0.6283746455388116,1.534558449258809,1.2369560049217312,-0.2088800055789761,0
32,17:25:44.501987,62744.501987,0.6518080126794084,1.487843090428403,1.3270332333337274,-0.2088800055789761,0
33,17:25:44.554271,62744.554271,0.618183681187493,1.5001082471695306,1.313224232859223,-0.2783200074336491,0
34,17:25:44.613387,62744.613387,0.5668923204003549,1.448271821477343,1.3997346659787575,-0.2783200074336491,0
35,17:25:44.659288,62744.659288,0.5147850409432404,1.452680393776785,1.4458268016731484,-0.3480400092958007,0
36,17:25:44.720291,62744.720291,0.5369293164341861,1.3994925769478714,1.423734258284283,-0.4174800111504737,0
37,17:25:44.775360,62744.77536,0.4835648964008764,1.3589383036859806,1.4857481731734834,-0.4872000130126253,0
38,17:25:44.832333,62744.832333,0.4634961977964033,1.3392880703084686,1.4839607137666646,-0.5566400148672983,0
39,17:25:44.885676,62744.885676,0.4634961977964033,1.3392880703084686,1.4839607137666646,-0.4872000130126253,0
40,17:25:44.938653,62744.938653,0.3740255735632223,1.2600228933271187,1.460900089182222,-0.6263600167294499,0
41,17:25:45.004712,62745.004712,0.4520254160709173,1.254616687283003,1.1083926733865983,-0.6958000185841229,0
42,17:25:45.057131,62745.057131,0.3460298774987528,1.2263538528041815,1.325345024940747,-0.8349600223009475,0
43,17:25:45.113337,62745.113337,0.3460298774987528,1.2263538528041815,1.325345024940747,-0.7655200204462744,0
44,17:25:45.167472,62745.167472,0.246986096425017,1.14706658661067,1.4438380825442114,-0.7655200204462744,0
45,17:25:45.212843,62745.212843,0.2371618132128466,1.1186689665845626,1.2959883858370584,-0.7655200204462744,0
46,17:25:45.265240,62745.26524,0.1992200881670107,1.079958833144389,1.319674840931181,-0.6958000185841229,0
47,17:25:45.324793,62745.324793,0.0366116907277967,1.048475053948321,1.554015177177742,-0.5566400148672983,0
48,17:25:45.379896,62745.379896,0.0397253512693094,1.0263948911560408,1.4438692196082987,-0.5566400148672983,0
49,17:25:45.435588,62745.435588,-0.0542183106319409,0.9893040661998448,1.5631624578424124,-0.4872000130126253,0
50,17:25:45.493454,62745.493454,-0.0644295552209613,0.9251218864537114,1.4737990504696403,-0.5566400148672983,0
51,17:25:45.543997,62745.543997,-0.0975991478286583,0.9256092788714044,1.3398938247313947,-0.4872000130126253,0
52,17:25:45.599062,62745.599062,-0.1647263366777721,0.8444785904405802,1.3878694933807985,-0.6263600167294499,0
53,17:25:45.652232,62745.652232,-0.2007487463596542,0.802830649653425,1.48019098027817,-0.3480400092958007,0
54,17:25:45.706044,62745.706044,-0.2882423821581935,0.8130492829739757,1.532660888891264,-0.2088800055789761,0
55,17:25:45.762794,62745.762794,-0.309042753993871,0.7569386282219767,1.5038492621727864,-0.0697200018621515,0
56,17:25:45.819470,62745.81947,-0.309042753993871,0.7569386282219767,1.5038492621727864,0.1391600037168245,0
57,17:25:45.871759,62745.871759,-0.4891133754859353,0.7340375902927163,1.5688579569611996,0.2783200074336491,0
58,17:25:45.928130,62745.92813,-0.7686300586932049,0.5742306857859881,1.8158811947187872,0.3480400092958007,0
59,17:25:45.986727,62745.986727,-0.7686300586932049,0.5742306857859881,1.8158811947187872,0.3480400092958007,0
60,17:25:46.038990,62746.03899,-0.7684651268572769,0.6045698346914222,1.6651668313806254,0.4872000130126253,0
61,17:25:46.093303,62746.093303,-0.8210700117808857,0.5962638033390769,1.6167146086213393,0.6958000185841229,0
62,17:25:46.145541,62746.145541,-0.8210700117808857,0.5962638033390769,1.6167146086213393,0.6958000185841229,0
63,17:25:46.203680,62746.20368,-0.8497627053563818,0.3092736297953791,1.399117200339552,0.5566400148672983,0
64,17:25:46.265134,62746.265134,-0.9126111368884094,0.5657087246477107,1.5634059463450145,0.7655200204462744,0
65,17:25:46.319555,62746.319555,-0.9318816170753468,0.5079095024905105,1.5076118475408098,0.7655200204462744,0
66,17:25:46.373010,62746.37301,-0.9008558921062584,0.7007082465534848,1.4630854000720508,0.5566400148672983,0
67,17:25:46.426512,62746.426512,-1.0192841023349888,0.6267124631873666,1.599972010372278,0.8349600223009475,0
68,17:25:46.484917,62746.484917,-1.0192841023349888,0.6267124631873666,1.599972010372278,0.8349600223009475,0
69,17:25:46.537089,62746.537089,-1.0718538514716722,0.6471080734494143,1.5493902784305602,0.8349600223009475,0
70,17:25:46.591318,62746.591318,-1.0718538514716722,0.6471080734494143,1.5493902784305602,0.8349600223009475,0
