frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
1,0,-2.633538872791752,1.7911058494754946,1.2226797163290546,17,0,0.0,0.0,0.0,0.0,0,1,1,1
2,0,-2.633538872791752,1.7911058494754946,1.2226797163290546,0,1,0.0,0.0,0.0,0.0,0,1,1,1
3,0,-2.633538872791752,1.7911058494754946,1.2226797163290546,0,1,0.0,0.0,0.0,0.0,0,1,1,1
4,0,-1.8748090869970344,2.3208378783927843,1.2701664488068622,21,0,0.7587297857947175,0.5297320289172898,0.04748673247780766,0.9265753612493401,0,1,1,1
5,0,-1.8748090869970344,2.3208378783927843,1.2701664488068622,37,1,0.0,0.0,0.0,0.0,0,1,1,1
6,0,-1.8748090869970344,2.3208378783927843,1.2701664488068622,4,1,0.0,0.0,0.0,0.0,0,1,1,1
7,0,-2.514715735595836,1.8786281859073113,1.3563126866889443,22,0,-0.6399066485988016,-0.44220969248547304,0.08614623788208209,0.7825925538556338,0,1,1,1
8,0,-2.514715735595836,1.8786281859073113,1.3563126866889443,5,1,0.0,0.0,0.0,0.0,0,1,1,1
9,0,-2.3613120176838467,2.003096541709176,1.1000266747450205,39,0,0.15340371791198937,0.12446835580186466,-0.25628601194392386,0.3235855252995132,0,1,1,1
10,0,-2.3613120176838467,2.003096541709176,1.1000266747450205,19,1,0.0,0.0,0.0,0.0,0,1,1,1
11,0,-2.3613120176838467,2.003096541709176,1.1000266747450205,39,1,0.0,0.0,0.0,0.0,0,1,1,1
12,0,-1.8595355315181095,2.3287254520863985,1.438256773270155,28,0,0.5017764861657372,0.3256289103772225,0.3382300985251345,0.6871778728179581,0,1,1,1
13,0,-1.8595355315181095,2.3287254520863985,1.438256773270155,0,1,0.0,0.0,0.0,0.0,0,1,1,1
14,0,-1.8595355315181095,2.3287254520863985,1.438256773270155,0,1,0.0,0.0,0.0,0.0,0,1,1,1
15,0,-0.9886986208848195,1.794494907067308,1.4590576917736222,3,0,0.8708369106332899,-0.5342305450190905,0.020800918503467214,1.0218570733538594,0,1,1,1
16,0,-0.9886986208848195,1.794494907067308,1.4590576917736222,0,1,0.0,0.0,0.0,0.0,0,1,1,1
17,0,-0.9886986208848195,1.794494907067308,1.4590576917736222,0,1,0.0,0.0,0.0,0.0,0,1,1,1
18,0,-2.6393185874092278,1.6327266909384772,1.0343806644586797,9,0,-1.6506199665244083,-0.16176821612883074,-0.4246770273149425,1.7120355741536446,0,1,0,0
