frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
1,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
2,0,0.5156154464775105,3.06666191755635,-0.29164924167993744,23,0,0.0,0.0,0.0,0.0,0,1,1,1
3,0,0.5156154464775105,3.06666191755635,-0.29164924167993744,16,1,0.0,0.0,0.0,0.0,0,1,1,1
4,0,0.5156154464775105,3.06666191755635,-0.29164924167993744,29,1,0.0,0.0,0.0,0.0,0,1,1,1
5,0,0.4444622031070442,2.8905409365022923,1.1887315886355072,32,0,-0.07115324337046625,-0.1761209810540576,1.4803808303154447,1.492517600155866,0,1,0,0
6,0,0.4444622031070442,2.8905409365022923,1.1887315886355072,46,1,0.0,0.0,0.0,0.0,0,1,1,1
7,0,0.4638171778980787,2.834152392254359,0.9803228138527557,9,0,0.019354974791034485,-0.05638854424793305,-0.20840877478275155,0.21676831036387753,0,1,1,1
8,0,0.4200826224265041,2.9372458889878033,1.245825653613981,15,0,-0.043734555471574565,0.10309349673344403,0.26550283976122524,0.28815401842122507,0,1,1,1
9,0,0.4200826224265041,2.9372458889878033,1.245825653613981,4,1,0.0,0.0,0.0,0.0,0,1,1,1
10,0,0.4173265745886294,2.942946857923592,1.1334322331413604,5,0,-0.0027560478378747533,0.005700968935788531,-0.11239342047262046,0.11257165634397825,0,1,1,1
11,0,0.335704228552455,3.0233414221330914,1.0401793582947974,6,0,-0.08162234603617435,0.08039456420949964,-0.09325287484656308,0.14772133222399908,0,1,1,1
12,0,0.335704228552455,3.0233414221330914,1.0401793582947974,0,1,0.0,0.0,0.0,0.0,0,1,1,1
13,0,0.335704228552455,3.0233414221330914,1.0401793582947974,0,1,0.0,0.0,0.0,0.0,0,1,1,1
14,0,0.3602563304600465,2.9500019917880036,1.3148812989711471,11,0,0.024552101907591495,-0.07333943034508783,0.2747019406763498,0.2853815585541146,0,1,1,1
15,0,0.4534632015265198,2.9026836080453227,1.244703856505569,12,0,0.0932068710664733,-0.047318383742680936,-0.07017744246557811,0.12590243716875107,0,1,1,1
16,0,0.3325220626168633,2.9962574308095724,1.1766454126642907,6,0,-0.12094113890965652,0.09357382276424975,-0.06805844384127835,0.16737613678650998,0,1,1,1
17,0,0.3325220626168633,2.9962574308095724,1.1766454126642907,0,1,0.0,0.0,0.0,0.0,0,1,1,1
18,0,0.23010737927200375,3.035816798673599,1.161735257660079,31,0,-0.10241468334485954,0.03955936786402647,-0.014910155004211667,0.11079721870461748,0,1,1,1
19,0,0.3328037593400542,2.922246639606422,1.26312215147423,51,0,0.10269638006805043,-0.11357015906717693,0.10138689381415089,0.1836410350300478,0,1,1,1
20,0,0.258776902728567,2.9184052256807216,1.3843872044996852,26,0,-0.07402685661148717,-0.0038414139257003654,0.12126505302545532,0.14212651070786453,0,1,1,1
21,0,0.3716094666157534,2.914224966354947,0.9240280660934925,46,0,0.11283256388718638,-0.0041802593257744824,-0.4603591384061927,0.4740033737806924,0,1,1,1
22,0,0.3716094666157534,2.914224966354947,0.9240280660934925,29,1,0.0,0.0,0.0,0.0,0,1,1,1
23,0,0.24105976295405931,2.996615442223585,1.171002220740195,5,0,-0.13054970366169408,0.08239047586863801,0.24697415464670258,0.29125186472101794,0,1,1,1
24,0,0.24105976295405931,2.996615442223585,1.171002220740195,0,1,0.0,0.0,0.0,0.0,0,1,1,1
25,0,0.21795202893878782,2.8626412221322304,1.3009269315936123,38,0,-0.023107734015271497,-0.13397422009135473,0.12992471085341717,0.18805182666156517,0,1,1,1
26,0,0.3045882607148392,2.7724208292178343,1.1224909858407688,53,0,0.08663623177605137,-0.0902203929143961,-0.1784359457528435,0.21791040060238845,0,1,1,1
