subject,trial,trial_id,step_count_raw,step_count_valid,duration_walk_sec,mean_step_time,step_time_std,cadence_spm,distance_2d_m,walking_speed_ms,step_length_m,is_valid_trial,trial_num
Kinan,Kinan_Jalan1,Jalan1,4,4,1.0482179999962682,0.34940599999875604,0.0870666182247803,228.9600064116953,0.882740035039325,0.8421340170102666,0.29424667834644164,0,1.0
Kinan,Kinan_Jalan2,Jalan2,6,4,0.8221940000003087,0.2740646666667696,0.0007425828806711493,291.9019112276542,0.7548587946966778,0.9181030203290153,0.25161959823222596,0,2.0
Kinan,Kinan_Jalan3,Jalan3,9,7,1.7672069999971427,0.2945344999995238,0.043476533351039584,237.66316000371154,1.286816208077241,0.7281638246562635,0.2144693680128735,1,3.0
Kinan,Kinan_Jalan4,Jalan4,9,6,1.374087000003783,0.2748174000007566,0.007526550689578939,261.99214460147635,1.1894916782789442,0.8656596549386388,0.23789833565578883,0,4.0
Kinan,Kinan_Jalan5,Jalan5,6,5,1.216642999999749,0.30416074999993725,0.0312874404847214,246.5801389561785,1.2817576866079614,1.0535199615731368,0.32043942165199035,0,5.0
Kinan,Kinan_Jalan6,Jalan6,10,7,1.697760000002745,0.2829600000004575,0.02105945738216071,247.3847893691222,1.3384479952421102,0.7883611318678412,0.22307466587368505,1,6.0
Kinan,Kinan_Jalan7,Jalan7,7,7,3.485704999999143,0.5809508333331905,0.5903747115682354,120.49212426183605,1.5109408875697574,0.4334678028032002,0.25182348126162624,1,7.0
Kinan,Kinan_Jalan8,Jalan8,6,4,0.9457909999982803,0.31526366666609346,0.06715703028186443,253.75585092312824,0.8545051704909509,0.9034820277339334,0.28483505683031696,0,8.0
Kinan,Kinan_Jalan9,Jalan9,6,6,1.5362590000004275,0.3072518000000855,0.04967358416718736,234.33548639903807,1.2963667091564772,0.8438464537269539,0.25927334183129547,1,9.0
Kinan,Kinan_Jalan10,Jalan10,5,4,0.9374670000033802,0.3124890000011267,0.061948888632411166,256.0090115162823,0.8298851730789671,0.8852420117998552,0.27662839102632236,0,10.0
Kinan,Kinan_Jalan11,Jalan11,3,2,0.32914500000333646,0.32914500000333646,0.0,364.5809597556809,0.3682038990657838,1.1186677575598944,0.3682038990657838,0,11.0
Kinan,Kinan_Jalan12,Jalan12,7,6,3.913371000002371,0.7826742000004743,0.9190842461567876,91.9923002444138,1.0414632712274832,0.26612944983413334,0.20829265424549664,1,12.0
Kinan,Kinan_Jalan13,Jalan13,6,5,2.529250999999931,0.6323127499999828,0.4401988110844652,118.61218993291223,2.7155605802355463,1.0736619577240931,0.6788901450588866,1,13.0
Kinan,Kinan_Jalan14,Jalan14,8,7,3.078707000000577,0.5131178333334295,0.3074776250695477,136.42090656886845,3.484872274828987,1.1319272262116316,0.5808120458048311,1,14.0
Kinan,Kinan_Jalan15,Jalan15,6,5,2.042111999995541,0.5105279999988852,0.4265925995785432,146.90673185440127,1.8187359085393993,0.8906151614325614,0.4546839771348498,1,15.0
Kinan,Kinan_Jalan16,Jalan16,5,5,1.2012389999945299,0.30030974999863247,0.028632745153415313,249.7421412403078,0.6378154678284027,0.5309646688388465,0.15945386695710068,0,16.0
Kinan,Kinan_Jalan17,Jalan17,7,7,2.374266999999236,0.3957111666665393,0.24009706773771197,176.89670117140793,3.1001258783712613,1.3057191454761654,0.5166876463952103,1,17.0
Kinan,Kinan_Jalan18,Jalan18,7,7,5.606188999998267,0.9343648333330444,0.527252979488466,74.91720311251187,3.4634479430218392,0.6177900786118538,0.5772413238369732,1,18.0
Kinan,Kinan_Jalan19,Jalan19,7,7,3.028308000000834,0.504718000000139,0.5061663037460603,138.69130881003,2.608614923885042,0.861410042797603,0.4347691539808403,1,19.0
Kinan,Kinan_Jalan20,Jalan20,9,7,1.912348000005295,0.3187246666675492,0.06468353128446865,219.62529832375543,1.4402911214982994,0.7531532553145721,0.24004852024971657,1,20.0
Kinan,Kinan_Jalan21,Jalan21,6,6,2.586310999999114,0.5172621999998228,0.5405822492306985,139.19439696158867,2.318650923032515,0.8965089360998386,0.46373018460650306,1,21.0
Kinan,Kinan_Jalan22,Jalan22,4,3,0.9492919999975129,0.47464599999875645,0.030493272829179754,189.61499728268183,4.166740510304083,4.389313836327495,2.0833702551520417,0,22.0
Kinan,Kinan_Jalan23,Jalan23,5,4,0.8338139999978011,0.27793799999926705,0.001919723681595379,287.83397736261674,0.6683276675845395,0.8015308780930783,0.2227758891948465,0,23.0
Kinan,Kinan_Jalan24,Jalan24,7,7,4.300892999999633,0.7168154999999388,0.4926909125970816,97.65413833825578,2.81089014660546,0.6535596553101182,0.46848169110091,1,24.0
Kinan,Kinan_Jalan25,Jalan25,7,5,1.1062090000050375,0.2765522500012594,0.005336485012180101,271.19649180094706,0.9973728874435877,0.901613426973606,0.2493432218608969,0,25.0
Kinan,Kinan_Jalan26,Jalan26,5,4,0.8190899999899557,0.2730299999966519,0.004256470481869083,293.00809435219946,0.8990326888440366,1.0975993954938545,0.29967756294801223,0,26.0
Kinan,Kinan_Jalan27,Jalan27,6,6,3.401120999988052,0.6802241999976104,0.7526905650010156,105.84745441319632,3.2711628761165263,0.961789620577456,0.6542325752233052,1,27.0
Kinan,Kinan_Jalan28,Jalan28,7,6,1.6543200000014622,0.3308640000002924,0.06895067467223995,217.612070215969,1.472599606514538,0.8901540249245832,0.2945199213029076,1,28.0
Kinan,Kinan_Jalan29,Jalan29,7,5,1.0966419999895152,0.2741604999973788,0.005820573198229214,273.56238408055526,1.1820235780093253,1.0778572934655306,0.29550589450233133,0,29.0
