frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap,gait_signal_raw,gait_signal_smooth,step_event
1,17:22:37.916869,62557.916869,1.1341498856804284,1.534467873270407,1.6839592437066808,0.1391600037168245,0,0.1391600037168245,0.0697200018621515,0
2,17:22:37.970460,62557.97046,0.904492125022662,1.5043514587977187,1.6591459393710732,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
3,17:22:38.024666,62558.024666,0.904492125022662,1.5043514587977187,1.6591459393710732,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
4,17:22:38.078923,62558.078923,1.025867471075986,1.549361144258655,1.649536722980793,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
5,17:22:38.130659,62558.130659,1.025867471075986,1.549361144258655,1.649536722980793,,0,,0.0697200018621515,0
6,17:22:38.187322,62558.187322,1.025867471075986,1.549361144258655,1.649536722980793,,0,,0.0697200018621515,0
7,17:22:38.241990,62558.24199,1.2511455069760669,1.670215856997859,1.4915224299217928,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
8,17:22:38.295934,62558.295934,1.2511455069760669,1.670215856997859,1.4915224299217928,,0,,0.0697200018621515,0
9,17:22:38.352120,62558.35212,1.2511455069760669,1.670215856997859,1.4915224299217928,,0,,0.0697200018621515,0
10,17:22:38.406895,62558.406895,,,,,1,,0.0697200018621515,0
11,17:22:38.464993,62558.464993,0.9306149880114636,1.5749110667686264,-0.1499145931365594,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
12,17:22:38.523885,62558.523885,0.9306149880114636,1.5749110667686264,-0.1499145931365594,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
13,17:22:38.579279,62558.579279,0.9165140435523368,1.60543187518375,-0.2417150461977455,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
14,17:22:38.636244,62558.636244,0.9165140435523368,1.60543187518375,-0.2417150461977455,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
15,17:22:38.687981,62558.687981,0.9105272787848226,1.5616667898130805,-0.3427124318848619,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
16,17:22:38.751634,62558.751634,0.8758355475366395,1.5344393345567269,-0.2840303907686299,-0.2088800055789761,0,0.2088800055789761,0.2088800055789761,0
17,17:22:38.800750,62558.80075,0.8952024707363744,1.554407068203369,-0.2600425735531173,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
18,17:22:38.853618,62558.853618,0.8952024707363744,1.554407068203369,-0.2600425735531173,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,0
19,17:22:38.914934,62558.914934,0.8952024707363744,1.554407068203369,-0.2600425735531173,-0.4872000130126253,0,0.4872000130126253,0.4174800111504737,0
20,17:22:38.964224,62558.964224,0.8221312389165044,1.3057629338285182,1.0034683733335867,-0.4174800111504737,0,0.4174800111504737,0.4872000130126253,0
21,17:22:39.018266,62559.018266,0.8118167287640384,1.3087402485360788,1.1556841156508006,-0.6263600167294499,0,0.6263600167294499,0.6263600167294499,0
22,17:22:39.077732,62559.077732,0.7882208138744811,1.2629803976198104,1.312241920723923,-0.8349600223009475,0,0.8349600223009475,0.7655200204462744,0
23,17:22:39.134033,62559.134033,0.739958065152458,1.1845785310884511,1.0471032317912476,-0.7655200204462744,0,0.7655200204462744,0.8349600223009475,0
24,17:22:39.190373,62559.190373,0.7165685700743893,1.176024279849682,1.1622504453176938,-1.0438400278799236,0,1.0438400278799236,1.0438400278799236,0
25,17:22:39.242831,62559.242831,0.6635606213412159,1.1312297752484677,1.216218708203457,-1.1830000315967482,0,1.1830000315967482,1.1132800297345966,1
26,17:22:39.295967,62559.295967,0.6631919203771147,1.0463434606463833,1.3088795953791894,-1.1830000315967482,0,1.1830000315967482,1.1132800297345966,0
27,17:22:39.348288,62559.348288,0.5444093694038685,1.0127356482242431,1.3795009167296548,-1.1132800297345966,0,1.1132800297345966,1.1132800297345966,0
28,17:22:39.409600,62559.4096,0.5444093694038685,1.0127356482242431,1.3795009167296548,-0.974120026017772,0,0.974120026017772,0.974120026017772,0
29,17:22:39.468908,62559.468908,0.3635159374451837,0.957778741856158,1.3786216740476878,-0.9394000250904356,0,0.9394000250904356,0.9394000250904356,0
30,17:22:39.525430,62559.52543,0.3139807748716284,0.925266361058807,1.433657666841514,-0.904680024163099,0,0.904680024163099,0.904680024163099,0
31,17:22:39.574011,62559.574011,0.2047716105171578,0.8820315453152725,1.4627417749998242,-0.6958000185841229,0,0.6958000185841229,0.8349600223009475,0
32,17:22:39.625274,62559.625274,0.1449625567080348,0.8276912333687875,1.5157351492182185,-0.8349600223009475,0,0.8349600223009475,0.7655200204462744,0
33,17:22:39.685117,62559.685117,0.1316426063398095,0.8096235893008261,1.4232314343964183,-0.7655200204462744,0,0.7655200204462744,0.6958000185841229,0
34,17:22:39.742785,62559.742785,0.0571143587562927,0.7967130877370223,1.4271051300066475,-0.6263600167294499,0,0.6263600167294499,0.6263600167294499,0
35,17:22:39.802474,62559.802474,-0.0179386912651065,0.7390434845707898,1.475598567821136,-0.5566400148672983,0,0.5566400148672983,0.6263600167294499,0
36,17:22:39.853687,62559.853687,-0.094031764791119,0.7004893911994584,1.4606686778149298,-0.4872000130126253,0,0.4872000130126253,0.5566400148672983,0
37,17:22:39.901980,62559.90198,-0.0971230109956962,0.6684975401223981,1.3250743266851368,-0.6263600167294499,0,0.6263600167294499,0.4872000130126253,0
38,17:22:39.956751,62559.956751,-0.1049960070258062,0.5969655277340198,1.3505811638530405,-0.4872000130126253,0,0.4872000130126253,0.4872000130126253,0
39,17:22:40.011739,62560.011739,-0.1944018075280609,0.5677999535319407,1.4448820136259628,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
40,17:22:40.062134,62560.062134,-0.3124683736250799,0.549258688884436,1.4837414367239337,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
41,17:22:40.117317,62560.117317,-0.3156497599826181,0.4894854780150428,1.422074564029225,-0.0697200018621515,0,0.0697200018621515,0.1391600037168245,0
