frame,timestamp,timestamp_sec,torso_x,torso_y,torso_z,doppler_torso,is_gap,gait_signal_raw,gait_signal_smooth,step_event
1,18:15:11.249344,65711.249344,1.1520269281211153,1.7446838664217783,1.1479076075774377,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
2,18:15:11.305597,65711.305597,1.1520269281211153,1.7446838664217783,1.1479076075774377,-0.1391600037168245,0,0.1391600037168245,0.0697200018621515,0
3,18:15:11.358452,65711.358452,1.1590713547817515,1.796832602157446,0.9863703982064704,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
4,18:15:11.414622,65711.414622,1.213658710983225,1.742436297127282,1.2836109103675435,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
5,18:15:11.467462,65711.467462,1.213658710983225,1.742436297127282,1.2836109103675435,,0,,0.0697200018621515,0
6,18:15:11.526295,65711.526295,1.2024218096006571,1.7201043076697349,1.141275113610594,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
7,18:15:11.577879,65711.577879,1.2820144324302194,1.6184243775494953,0.9041492152277228,0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
8,18:15:11.632196,65711.632196,1.2820144324302194,1.6184243775494953,0.9041492152277228,,0,,0.0697200018621515,0
9,18:15:11.687090,65711.68709,1.2820144324302194,1.6184243775494953,0.9041492152277228,,0,,0.0697200018621515,0
10,18:15:11.741783,65711.741783,,,,,1,,0.0697200018621515,0
11,18:15:11.797918,65711.797918,1.1772968844463445,1.737733033448425,1.30728027165227,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
12,18:15:11.851900,65711.8519,1.1772968844463445,1.737733033448425,1.30728027165227,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
13,18:15:11.906444,65711.906444,1.1772968844463445,1.737733033448425,1.30728027165227,,0,,0.0697200018621515,0
14,18:15:11.962048,65711.962048,1.0307032937296736,1.8794089845815871,-0.1157210079071751,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
15,18:15:12.018900,65712.0189,1.0307032937296736,1.8794089845815871,-0.1157210079071751,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
16,18:15:12.076980,65712.07698,1.0307032937296736,1.8794089845815871,-0.1157210079071751,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
17,18:15:12.131139,65712.131139,1.099233361156836,1.7771138317102313,1.2555845375219623,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
18,18:15:12.187629,65712.187629,1.1395425710248774,1.7618608148088784,1.2406895638600364,-0.0697200018621515,0,0.0697200018621515,0.0697200018621515,0
19,18:15:12.240047,65712.240047,1.1936649401810393,1.6740320200091443,0.992694736446376,-0.1391600037168245,0,0.1391600037168245,0.0697200018621515,0
20,18:15:12.297728,65712.297728,1.2593565804739886,1.729095430576478,1.2423472698478728,-0.0697200018621515,0,0.0697200018621515,0.1391600037168245,0
21,18:15:12.351321,65712.351321,1.1245451074167043,1.693190556887337,1.2868743831894351,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
22,18:15:12.412364,65712.412364,1.1523366255558292,1.6884251991667591,1.1970821178301303,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
23,18:15:12.463700,65712.4637,1.1463105579598682,1.6677253875366425,0.9624352360590216,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
24,18:15:12.523260,65712.52326,1.134963162745372,1.6415612775819486,1.1927248639063155,-0.1391600037168245,0,0.1391600037168245,0.1391600037168245,0
25,18:15:12.569731,65712.569731,1.1253499125107764,1.6933272060376048,1.4204042714806595,-0.2783200074336491,0,0.2783200074336491,0.2783200074336491,0
26,18:15:12.627546,65712.627546,1.1167149091505797,1.6312339442451682,1.2921917173153734,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
27,18:15:12.681533,65712.681533,1.094884179899548,1.582465126288536,1.0716098412044106,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
28,18:15:12.735277,65712.735277,1.094884179899548,1.582465126288536,1.0716098412044106,-0.3480400092958007,0,0.3480400092958007,0.3480400092958007,0
29,18:15:12.795587,65712.795587,1.081660480831338,1.5217909090136723,1.1212875170744523,-0.4174800111504737,0,0.4174800111504737,0.4174800111504737,0
30,18:15:12.848784,65712.848784,1.06270524119664,1.527593385062019,1.1797938027948798,-0.4872000130126253,0,0.4872000130126253,0.4872000130126253,0
31,18:15:12.902806,65712.902806,1.024135395245281,1.5193215832582738,1.1577035763903738,-0.4872000130126253,0,0.4872000130126253,0.4872000130126253,0
32,18:15:12.961757,65712.961757,1.0126513841427596,1.4443295575407653,1.1148530892501267,-0.5566400148672983,0,0.5566400148672983,0.5566400148672983,0
33,18:15:13.015705,65713.015705,0.9548662942176084,1.4486520606103976,1.1391234630802225,-0.6958000185841229,0,0.6958000185841229,0.5566400148672983,0
34,18:15:13.069696,65713.069696,0.9520789870106922,1.3848183431851582,1.1050680947954603,-0.6263600167294499,0,0.6263600167294499,0.5566400148672983,0
35,18:15:13.124868,65713.124868,0.8971087702591112,1.37224174667094,0.9985044587204942,-0.4872000130126253,0,0.4872000130126253,0.5566400148672983,0
36,18:15:13.177946,65713.177946,0.9095483006942124,1.367491993563507,1.0870034740457777,-0.4174800111504737,0,0.4174800111504737,0.4872000130126253,0
37,18:15:13.228912,65713.228912,0.7421840523991423,1.4165938627548509,1.2484264013915858,-0.5566400148672983,0,0.5566400148672983,0.4872000130126253,0
