frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,11,0
2,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,24,1
3,-1,,,,0,0
4,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,17,1
5,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,5,1
6,-1,,,,0,0
7,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,6,1
8,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,6,1
9,-1,,,,0,0
10,-1,,,,0,0
11,-1,,,,0,0
12,-1,,,,0,0
13,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,14,1
14,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,36,1
15,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,28,1
16,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,42,1
17,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,44,1
18,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,26,1
19,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,5,1
20,0,-1.0406234716216323,0.4194591385912124,-0.5295513676736597,9,1
21,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,24,0
22,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,45,1
23,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,27,1
24,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,31,1
25,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,44,1
26,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,48,1
27,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,29,1
28,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,30,1
29,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,29,1
30,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,30,1
31,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,48,1
32,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,45,1
33,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,43,1
34,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,46,1
35,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,79,1
36,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,59,1
37,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,20,1
38,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,43,1
39,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,14,1
40,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,103,1
41,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,50,1
42,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,14,1
43,-1,,,,0,0
44,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,22,1
45,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,29,1
46,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,14,1
47,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,9,1
48,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,5,1
49,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,9,1
50,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,5,1
51,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,5,1
52,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,34,1
53,-1,,,,0,0
54,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,34,1
55,0,-1.0900472754909405,0.5841938106040118,-0.39597182770013467,29,1
